customer_id,customer_zip_code_prefix,customer_city,customer_state
2611,14409,franca,SP
9562,9790,sao bernardo do campo,SP
30461,1151,sao paulo,SP
69606,8775,mogi das cruzes,SP
30708,13056,campinas,SP
52562,89254,jaragua do sul,SC
98443,4534,sao paulo,SP
36424,35182,timoteo,MG
35167,81560,curitiba,PR
29245,30575,belo horizonte,MG
62064,39400,montes claros,MG
35097,20231,rio de janeiro,RJ
69648,18682,lencois paulista,SP
91389,5704,sao paulo,SP
12096,95110,caxias do sul,RS
12589,13412,piracicaba,SP
65192,22750,rio de janeiro,RJ
77125,7124,guarulhos,SP
60392,5416,sao paulo,SP
28640,68485,pacaja,PA
8223,88034,florianopolis,SC
40598,74914,aparecida de goiania,GO
16019,5713,sao paulo,SP
13788,82820,curitiba,PR
79304,8225,sao paulo,SP
95822,9121,santo andre,SP
8725,74310,goiania,GO
42632,4571,sao paulo,SP
87505,29311,cachoeiro de itapemirim,ES
88334,5528,sao paulo,SP
14832,12235,sao jose dos campos,SP
43173,18130,sao roque,SP
17581,42800,camacari,BA
69619,27525,resende,RJ
27380,81750,curitiba,PR
86805,13175,sumare,SP
25508,7170,guarulhos,SP
32900,93415,novo hamburgo,RS
29479,65075,sao luis,MA
70975,88104,sao jose,SC
28727,7176,guarulhos,SP
75414,35960,santa barbara,MG
63578,5727,sao paulo,SP
4935,7053,guarulhos,SP
76896,14026,ribeirao preto,SP
10029,30320,belo horizonte,MG
94676,38300,ituiutaba,MG
75328,18740,taquarituba,SP
86984,83085,sao jose dos pinhais,PR
29912,89254,jaragua do sul,SC
82503,5351,sao paulo,SP
47210,39406,montes claros,MG
64238,14860,barrinha,SP
71009,21310,rio de janeiro,RJ
50528,23970,parati,RJ
55745,79804,dourados,MS
66001,5017,sao paulo,SP
66366,75388,trindade,GO
13635,85808,cascavel,PR
65735,60140,fortaleza,CE
30886,72270,brasilia,DF
1569,2075,sao paulo,SP
86531,96015,pelotas,RS
50600,90010,porto alegre,RS
79596,22440,rio de janeiro,RJ
62231,13323,salto,SP
15043,30190,belo horizonte,MG
95745,13212,jundiai,SP
47553,29307,cachoeiro de itapemirim,ES
44481,12280,cacapava,SP
29631,60336,fortaleza,CE
58969,11310,sao vicente,SP
42185,38408,uberlandia,MG
40221,37720,botelhos,MG
70539,24431,sao goncalo,RJ
4112,5890,sao paulo,SP
41947,3733,sao paulo,SP
10572,83709,araucaria,PR
7263,11347,sao vicente,SP
95752,26272,nova iguacu,RJ
50572,5415,sao paulo,SP
51023,59655,areia branca,RN
22059,4548,sao paulo,SP
56587,28010,campos dos goytacazes,RJ
97085,13573,sao carlos,SP
34902,2175,sao paulo,SP
92700,37500,itajuba,MG
46641,90670,porto alegre,RS
24613,9890,sao bernardo do campo,SP
41707,13321,salto,SP
