product_id,product_category_name,product_name_lenght,product_description_lenght,product_photos_qty,product_weight_g,product_length_cm,product_height_cm,product_width_cm
4054,perfumaria,40,287,1,225,16,10,14
7646,artes,44,276,1,1000,30,18,20
19352,esporte_lazer,46,250,1,154,18,9,15
26673,bebes,27,261,1,371,26,4,26
20306,utilidades_domesticas,37,402,4,625,20,17,13
8572,instrumentos_musicais,60,745,1,200,38,5,11
14931,cool_stuff,56,1272,4,18350,70,24,44
4942,moveis_decoracao,56,184,2,900,40,8,40
7250,eletrodomesticos,57,163,1,400,27,13,17
18075,brinquedos,36,1156,1,600,17,10,12
2720,cama_mesa_banho,54,630,1,1100,16,10,16
445,bebes,49,728,4,7150,50,19,45
26720,instrumentos_musicais,43,1827,3,250,17,7,17
16035,moveis_decoracao,51,2083,2,600,68,11,13
30280,construcao_ferramentas_seguranca,59,1602,4,200,17,7,17
7772,esporte_lazer,22,3021,1,800,16,2,11
13744,perfumaria,39,346,2,400,27,5,20
20779,informatica_acessorios,59,636,1,900,40,15,20
20635,moveis_decoracao,56,296,2,1700,100,7,15
31575,cama_mesa_banho,52,206,1,500,16,10,16
3723,moveis_decoracao,27,158,4,2550,29,24,45
10584,cama_mesa_banho,27,329,2,800,36,8,16
29342,beleza_saude,58,1987,3,75,21,7,13
17898,bebes,55,1627,1,500,20,13,13
26849,moveis_decoracao,56,209,1,1800,40,10,30
17956,utilidades_domesticas,52,968,1,900,50,5,50
31707,malas_acessorios,52,573,5,3600,35,25,50
25685,informatica_acessorios,35,1101,2,300,42,2,30
20590,informatica_acessorios,59,1890,2,740,23,13,13
610,esporte_lazer,50,529,2,3600,62,23,23
9301,cama_mesa_banho,45,206,1,650,16,10,16
29085,ferramentas_jardim,49,1163,9,2150,70,8,34
4380,moveis_decoracao,60,208,1,800,40,10,34
4070,moveis_escritorio,57,476,1,8950,52,51,17
26586,esporte_lazer,50,699,4,1388,34,9,31
10836,bebes,52,708,9,7950,33,30,44
23747,automotivo,43,1062,2,6000,87,3,42
15175,eletronicos,31,806,1,263,18,12,16
29693,utilidades_domesticas,37,352,1,3900,19,20,15
13460,moveis_decoracao,47,502,1,600,25,25,25
17894,moveis_decoracao,63,254,2,2050,49,13,41
3774,brinquedos,33,471,2,725,22,17,15
28259,cama_mesa_banho,56,509,4,6350,45,15,35
23694,bebes,47,980,4,600,70,11,11
15885,cool_stuff,38,1701,2,11750,18,40,79
17022,brinquedos,20,866,3,2550,22,32,38
12352,cool_stuff,38,1176,3,15350,47,40,47
24169,moveis_decoracao,42,303,2,1300,25,16,25
25168,moveis_decoracao,60,1972,2,850,69,11,11
25448,beleza_saude,60,330,1,1300,19,28,17
12262,esporte_lazer,53,3218,5,4800,60,30,15
23317,cool_stuff,55,410,2,1300,36,16,24
6672,automotivo,57,311,1,220,18,14,17
8314,bebes,50,509,4,5700,41,17,49
9940,malas_acessorios,53,1291,2,450,20,40,30
6370,fashion_calcados,60,402,2,2000,32,12,37
18852,telefonia,51,427,2,100,19,3,11
32674,cool_stuff,58,1252,1,1100,30,20,23
2149,papelaria,49,488,3,1400,38,40,39
1745,brinquedos,50,423,4,250,20,14,12
32041,esporte_lazer,47,956,1,1050,25,20,14
10139,papelaria,59,144,1,500,24,7,16
7054,beleza_saude,51,1069,1,1467,23,16,20
4589,fashion_bolsas_e_acessorios,50,554,3,100,16,5,11
28371,papelaria,41,92,1,100,16,5,16
18554,papelaria,43,198,2,300,23,7,15
24643,esporte_lazer,50,255,2,950,60,15,15
14477,ferramentas_jardim,33,200,1,250,17,3,11
4018,pcs,55,1067,1,12000,27,50,53
19009,automotivo,60,1543,6,921,17,9,16
26845,casa_construcao,55,1441,1,10000,60,25,25
8150,relogios_presentes,56,489,2,250,16,11,11
11345,cool_stuff,57,992,3,1200,44,20,20
11108,construcao_ferramentas_construcao,54,339,1,4800,25,8,25
21015,pet_shop,54,463,1,700,40,20,20
29551,beleza_saude,40,1469,3,1050,18,21,27
5230,eletroportateis,58,587,3,350,20,20,20
1695,perfumaria,52,150,1,422,21,16,18
24420,relogios_presentes,51,484,1,317,19,13,16
1015,agro_industria_e_comercio,39,430,1,16400,63,66,56
15260,beleza_saude,22,1313,1,938,29,22,23
6953,beleza_saude,37,1168,1,2700,21,16,31
21030,cama_mesa_banho,39,1146,1,1750,30,18,30
1222,ferramentas_jardim,42,671,1,3850,29,12,24
22853,perfumaria,49,460,2,267,17,13,17
5189,instrumentos_musicais,59,2367,3,16200,55,40,40
6625,cama_mesa_banho,54,381,2,1400,38,9,27
24977,cama_mesa_banho,50,607,1,6450,100,10,11
16453,moveis_decoracao,59,1750,3,2300,105,3,70
25278,informatica_acessorios,55,163,2,300,25,8,18
32166,esporte_lazer,43,101,1,600,50,10,12
7608,beleza_saude,60,2497,1,3600,20,20,20
22301,beleza_saude,60,1146,6,150,20,24,33
8084,esporte_lazer,57,900,4,400,16,4,11
13015,telefonia,49,319,1,100,18,6,11
22438,moveis_decoracao,55,1186,2,800,53,8,20
29684,automotivo,58,703,6,5250,47,19,23
27935,automotivo,50,361,1,200,35,4,26
26614,relogios_presentes,58,899,2,335,17,11,12
8225,cama_mesa_banho,49,701,1,1300,50,12,12
14192,moveis_decoracao,47,1405,3,150,35,2,25
20929,informatica_acessorios,59,504,3,367,16,4,11
14792,relogios_presentes,57,276,4,250,16,2,11
22948,moveis_decoracao,46,287,1,8500,75,25,55
24889,bebes,46,1039,1,2150,42,25,15
21073,NA,NA,NA,NA,650,17,14,12
29813,esporte_lazer,56,663,4,150,16,5,11
25095,cama_mesa_banho,39,170,1,650,27,10,22
29989,eletroportateis,53,794,4,2700,20,26,32
13416,utilidades_domesticas,56,414,1,1200,23,22,16
29977,moveis_sala,36,312,2,6050,55,10,46
24843,esporte_lazer,53,425,1,150,16,6,11
14335,casa_construcao,58,918,6,1050,16,20,16
23468,pet_shop,36,617,1,1350,23,7,30
5773,utilidades_domesticas,41,270,1,600,36,6,19
18417,moveis_decoracao,22,275,1,1000,30,18,18
