Donnor_ID,GiftAvg36,GiftAvgAll,GiftAvgCard36,GiftAvgLast,GiftCnt36,GiftCntAll,GiftCntCard36,GiftCntCardAll,GiftTimeFirst,GiftTimeLast
00014974,$13.50,$9.25,$17.00,$17.00,2,4,1,3,66,21
00006294,$20.00,$15.88,,$20.00,1,8,0,3,92,26
00046110,$5.17,$3.73,$5.00,$6.00,6,41,3,20,111,18
00185937,$8.67,$8.50,$8.67,$10.00,3,12,3,8,93,9
00029637,$20.00,$20.00,$20.00,$20.00,1,1,1,1,21,21
00112632,$10.33,$8.27,$8.00,$11.00,3,11,2,9,102,22
00123712,$20.00,$13.00,$20.00,$15.00,2,4,2,3,57,17
00045409,$15.00,$11.50,,$15.00,1,4,0,3,90,18
00019094,$35.00,$28.33,,$35.00,1,3,0,1,44,17
00178271,$20.00,$11.60,$20.00,$6.00,1,5,1,2,78,18
00102224,$6.33,$6.13,$6.00,$6.00,3,16,2,13,107,17
00187915,$9.06,$3.93,$5.00,$13.11,2,13,1,8,75,19
00182029,$20.00,$20.00,,$20.00,1,1,0,0,16,16
00188644,$15.00,$11.50,,$10.00,2,4,0,0,32,5
00164513,$12.50,$12.50,$5.00,$20.00,2,2,1,1,27,18
00102526,$6.00,$6.00,$5.33,$6.00,6,12,3,5,45,23
00190267,$11.67,$8.14,$15.00,$15.00,3,7,1,3,74,24
00035996,$5.29,$5.67,$5.67,$5.00,7,15,3,8,93,17
00176929,$41.50,$35.20,$50.00,$10.00,4,5,1,1,33,18
00187678,$5.50,$5.22,$5.67,$7.00,4,9,3,7,44,21
00006789,$36.00,$26.95,$36.00,$25.00,1,20,1,8,105,18
00190212,$12.00,$9.20,,$15.00,2,5,0,2,57,18
00029903,$7.67,$6.57,$7.50,$8.00,3,21,2,14,105,22
00127346,$15.00,$15.00,$15.00,$15.00,1,1,1,1,19,19
00115374,$13.33,$10.07,,$20.00,3,15,0,5,98,18
00083613,$16.50,$16.50,$20.00,$13.00,2,2,1,1,17,16
00174124,$20.00,$20.00,$20.00,$20.00,1,1,1,1,16,16
00005532,$10.00,$9.93,$10.00,$14.00,2,14,2,6,64,4
00189258,$10.20,$8.64,$10.33,$15.00,5,11,3,7,53,4
00027634,$7.80,$5.38,$9.67,$15.00,5,16,3,7,103,25
00190726,$17.00,$11.43,$16.50,$17.00,4,14,2,7,124,16
00118908,$16.33,$15.80,$16.33,$15.00,3,5,3,4,41,9
00175262,$32.50,$32.50,$20.00,$45.00,2,2,1,1,19,18
00031911,$4.80,$4.29,$3.50,$5.00,5,7,4,5,41,16
00133244,$15.00,$12.50,$15.00,$15.00,2,4,1,3,44,25
00103130,$7.00,$6.28,$6.50,$10.00,7,18,4,10,57,19
