driver_id,CAR_USE,DISTANCE,VEHICLE_AGE,VEHICLE_TYPE,VEHICLE_VAL,MVR_PTS,REVOKED
1000182550,Private,55,8,Van,"$21,830",0,No
1000315119,Private,97,8,Minivan,"$15,670",2,No
1000548315,Private,50,3,unknown,"$11,410",3,No
1000600829,Private,59,3,Pickup,"$7,310",0,No
1002000624,Private,73,13,Sports Car,"$12,200",8,No
1002059325,Private,99,12,Sports Car,"$23,340",2,No
1002162290,Private,82,,Pickup,"$19,480",4,Yes
1002201932,Private,81,10,Pickup,"$26,400",2,No
1003024578,Commercial,75,21,Pickup,"$22,810",4,Yes
1003478374,Commercial,83,3,Panel Truck,"$22,960",5,No
1004477664,Private,86,3,Minivan,"$31,770",2,No
1005642287,Private,68,14,Van,"$17,810",2,No
1007314552,Private,89,12,Minivan,"$30,380",1,No
1007473039,Private,65,17,Minivan,"$5,300",2,No
1007550906,Private,59,3,unknown,"$5,630",5,No
1008906604,Commercial,56,22,Panel Truck,"$31,370",2,No
1009714666,Commercial,82,10,Panel Truck,"$42,170",4,Yes
1009945575,Commercial,50,3,Minivan,"$21,790",5,No
1010487267,Private,67,7,Van,"$20,000",2,Yes
1012166546,Commercial,81,3,Pickup,"$11,870",5,No
1012705419,Commercial,73,,Panel Truck,"$24,450",1,No
1015689265,Commercial,80,3,unknown,"$25,900",1,No
1015810804,Private,94,3,Pickup,"$25,290",1,No
1015939400,Private,77,3,unknown,"$7,100",2,No
1017648719,Private,58,16,Minivan,"$30,840",2,No
1017800123,Private,93,,Sports Car,"$5,080",4,Yes
1017896809,Commercial,94,3,Minivan,"$13,580",1,No
101984137,Private,76,18,Pickup,"$26,200",2,No
1020814146,Private,90,3,Minivan,"$18,540",2,No
1021566959,Commercial,71,19,Pickup,"$29,890",0,No
1022828847,Private,102,19,Sports Car,"$6,900",6,No
1022892039,Private,65,16,Minivan,"$18,170",3,No
1023104229,Private,83,8,unknown,"$10,100",4,No
1023156728,Commercial,92,,Pickup,"$30,700",2,No
1023267221,Private,93,3,unknown,"$11,780",0,No
1023334776,Private,83,17,Minivan,"$12,840",2,No
1023610958,Private,62,3,Minivan,"$9,980",2,No
1023786844,Private,75,18,unknown,"$22,620",4,Yes
1024096776,Private,113,23,unknown,"$16,820",2,No
1024614839,Commercial,80,3,Panel Truck,"$25,610",2,No
1024715282,Private,92,10,unknown,"$7,210",2,No
1025276077,Commercial,101,9,unknown,"$13,770",2,No
1026219390,Private,69,8,Sports Car,"$5,920",3,No
1026919553,Private,77,9,unknown,"$9,920",6,No
1027033788,Commercial,62,10,unknown,"$17,930",0,No
1027439706,Commercial,74,3,Pickup,"$7,300",12,No
1029201296,Commercial,80,9,unknown,"$5,800",0,No
1029261320,Commercial,50,,Van,"$19,410",4,No
1030007549,Commercial,82,10,unknown,"$15,640",2,No
1030449830,Private,66,13,Minivan,"$22,520",0,No
1030473898,Commercial,61,16,Panel Truck,"$26,770",4,Yes
1030484137,Private,73,3,unknown,"$12,010",3,No
1030976677,Private,72,3,unknown,"$13,970",4,No
1031487106,Private,83,14,Minivan,"$18,980",6,No
1033873727,Private,51,20,Minivan,"$21,690",3,No
1033903429,Private,81,11,Pickup,"$24,610",2,No
1035010700,Private,50,16,Minivan,"$14,230",2,No
1036197396,Private,88,15,Sports Car,"$26,520",0,No
1036905568,Commercial,80,21,Panel Truck,"$29,550",1,No
1038266895,Private,50,,unknown,"$17,570",3,Yes
1038665711,Private,50,3,unknown,"$11,040",3,No
1039696210,Private,68,13,Sports Car,"$11,300",9,No
1040780186,Private,96,3,unknown,"$9,370",2,No
1041485506,Private,82,18,unknown,"$9,210",2,No
1042314323,Commercial,91,21,Panel Truck,"$22,560",8,No
1042582545,Private,83,5,Sports Car,"$9,200",0,No
1042781859,Private,60,,Van,"$18,900",2,Yes
1043505175,Private,89,3,Sports Car,"$8,370",0,No
1043814465,Private,81,7,unknown,"$17,700",2,No
1043825798,Private,67,3,Van,"$17,880",2,No
1044044681,Private,97,,unknown,"$9,970",7,No
1044591082,Private,115,14,unknown,"$15,070",0,No
1044950781,Commercial,104,15,Panel Truck,"$34,540",4,No
1045091702,Private,74,19,unknown,"$17,720",1,No
1046903042,Commercial,86,9,unknown,"$13,110",2,No
1048611268,Private,64,11,unknown,"$6,990",5,No
1048781779,Private,85,8,unknown,"$6,190",3,No
1048883081,Private,50,17,Sports Car,"$21,160",4,No
1049041203,Commercial,93,10,Minivan,"$1,500",6,Yes
1049709447,Private,82,3,Van,"$18,920",0,No
1050289716,Commercial,59,8,Minivan,"$27,840",0,No
1050503104,Commercial,56,3,Van,"$19,320",4,No
1051273367,Private,88,3,unknown,"$14,460",2,Yes
1051670989,Private,63,11,unknown,"$27,690",0,No
1052055661,Commercial,51,3,unknown,"$26,140",5,No
1052590454,Private,88,,Minivan,"$12,900",2,No
1052896364,Commercial,69,3,Pickup,"$5,330",6,No
1054494472,Private,92,3,Minivan,"$14,070",2,No
1054510695,Private,69,3,Minivan,"$6,900",2,No
1054878334,Private,101,,unknown,"$20,460",0,No
105582464,Commercial,114,11,unknown,"$5,900",0,No
1055825493,Private,50,3,Sports Car,"$6,390",5,No
1055825569,Private,101,3,Minivan,"$17,660",4,No
1056662232,Private,50,21,unknown,"$13,860",3,No
1057571616,Private,118,3,Pickup,"$6,800",2,No
1057698772,Private,83,3,Minivan,"$23,460",4,No
