year,raceId,driverId,driverRef,constructorId,constructorRef,wins,laps,fastestLapSpeed,fastestLap,milliseconds,seconds,minutes
1950,833,579,fangio,51,alfa,0,62,0,0,0,0,0
1950,833,589,chiron,105,maserati,0,26,0,0,0,0,0
1950,833,619,gerard,151,era,0,67,0,0,0,0,0
1950,833,627,rosier,154,lago,0,68,0,0,0,0,0
1950,833,640,graffenried,105,maserati,0,36,0,0,0,0,0
1950,833,642,farina,51,alfa,0,70,0,0,8003600,800306,13303933
1950,833,660,claes,154,lago,0,64,0,0,0,0,0
1950,833,661,peter_walker,151,era,0,5,0,0,0,0,0
1950,833,666,rolt,151,era,0,5,0,0,0,0,0
1950,833,669,bira,105,maserati,0,49,0,0,0,0,0
1950,833,686,reg_parnell,51,alfa,0,70,0,0,8055600,805506,134026
1950,833,704,cabantous,154,lago,0,68,0,0,0,0,0
1950,833,741,etancelin,154,lago,0,65,0,0,0,0,0
1950,833,747,murray,105,maserati,0,44,0,0,0,0,0
1950,833,776,kelly,126,alta,0,57,0,0,0,0,0
1950,833,778,shawe_taylor,105,maserati,0,64,0,0,0,0,0
1950,833,784,hampshire,105,maserati,0,64,0,0,0,0,0
1950,833,785,crossley,126,alta,0,43,0,0,0,0,0
1950,833,786,fagioli,51,alfa,0,70,0,0,8006200,800602,13304367
1950,833,787,harrison,151,era,0,67,0,0,0,0,0
1950,833,788,fry,105,maserati,0,64,0,0,0,0,0
1950,833,789,martin,154,lago,0,8,0,0,0,0,0
1950,833,790,leslie_johns,151,era,0,2,0,0,0,0,0
1950,834,427,trintignant,141,simca,0,0,0,0,0,0,0
1950,834,498,gonzalez,105,maserati,0,1,0,0,0,0,0
1950,834,501,schell,87,cooper,2,0,0,0,0,0,0
1950,834,579,fangio,51,alfa,0,100,0,0,1159870,1159087,19033117
1950,834,589,chiron,105,maserati,0,98,0,0,0,0,0
1950,834,619,gerard,151,era,0,94,0,0,0,0,0
1950,834,626,manzon,141,simca,0,0,0,0,0,0,0
1950,834,627,rosier,154,lago,0,0,0,0,0,0,0
1950,834,633,villoresi,6,ferrari,15,63,0,0,0,0,0
1950,834,640,graffenried,105,maserati,0,0,0,0,0,0,0
1950,834,642,farina,51,alfa,0,0,0,0,0,0,0
1950,834,647,ascari,6,ferrari,15,99,0,0,0,0,0
1950,834,660,claes,154,lago,0,94,0,0,0,0,0
1950,834,669,bira,105,maserati,0,95,0,0,0,0,0
1950,834,687,whitehead,6,ferrari,15,0,0,0,0,0,0
1950,834,741,etancelin,154,lago,0,38,0,0,0,0,0
1950,834,762,rol,105,maserati,0,0,0,0,0,0,0
1950,834,786,fagioli,51,alfa,0,0,0,0,0,0,0
1950,834,787,harrison,151,era,0,0,0,0,0,0,0
1950,834,792,pian,105,maserati,0,0,0,0,0,0,0
1950,834,793,sommer,6,ferrari,15,97,0,0,0,0,0
1950,835,509,rathmann,160,wetteroth,0,122,0,0,0,0,0
1950,835,518,darter,129,stevens,0,133,0,0,0,0,0
1950,835,520,hartley,157,langley,0,128,0,0,0,0,0
1950,835,526,ruttman,110,lesovsky,0,130,0,0,0,0,0
1950,835,529,bettenhausen,113,kurtis_kraft,0,136,0,0,0,0,0
1950,835,529,bettenhausen,150,deidt,0,30,0,0,0,0,0
1950,835,537,dick_rathman,107,watson,0,25,0,0,0,0,0
1950,835,555,paul_russo,138,nichels,0,135,0,0,0,0,0
1950,835,559,flaherty,113,kurtis_kraft,0,135,0,0,0,0,0
1950,835,593,parsons,113,kurtis_kraft,0,138,0,0,1001597,10010597,16069328
1950,835,611,hanks,113,kurtis_kraft,0,42,0,0,0,0,0
1950,835,615,agabashian,113,kurtis_kraft,0,64,0,0,0,0,0
1950,835,630,dinsmore,113,kurtis_kraft,0,10,0,0,0,0,0
1950,835,653,davies,116,ewing,0,128,0,0,0,0,0
1950,835,654,faulkner,113,kurtis_kraft,0,135,0,0,0,0,0
1950,835,658,mcgrath,113,kurtis_kraft,0,131,0,0,0,0,0
1950,835,659,hoyt,113,kurtis_kraft,0,125,0,0,0,0,0
1950,835,677,webb,105,maserati,0,126,0,0,0,0,0
