year,raceId,driverId,driverRef,constructorId,constructorRef,wins,laps,fastestLapSpeed,fastestLap,milliseconds,seconds,minutes
2007,36,1,hamilton,1,mclaren,15,58,221.083,20,5147365,5147.365,85.78942
2007,37,1,hamilton,1,mclaren,15,56,206.355,22,5552487,5552.487,92.54145
2007,38,1,hamilton,1,mclaren,15,57,206.674,18,5609875,5609.875,93.49792
2007,39,1,hamilton,1,mclaren,15,65,202.205,20,5503020,5503.02,91.717
2007,40,1,hamilton,1,mclaren,15,78,159.528,28,6033424,6033.424,100.5571
2007,41,1,hamilton,1,mclaren,15,70,205.239,37,6251292,6251.292,104.1882
2007,42,1,hamilton,1,mclaren,15,73,206.101,20,5469965,5469.965,91.16608
2007,43,1,hamilton,1,mclaren,15,70,207.34,39,5486353,5486.353,91.43922
2007,44,1,hamilton,1,mclaren,15,59,226.6,11,4942447,4942.447,82.37412
2007,45,1,hamilton,1,mclaren,15,59,198.421,29,.,.,.
2007,46,1,hamilton,1,mclaren,15,70,196.724,13,5752991,5752.991,95.88318
2007,47,1,hamilton,1,mclaren,15,58,218.464,17,5247246,5247.246,87.4541
2007,48,1,hamilton,1,mclaren,15,53,251.456,17,4723868,4723.868,78.73113
2007,49,1,hamilton,1,mclaren,15,44,233.002,41,4862681,4862.681,81.04468
2007,50,1,hamilton,1,mclaren,15,67,186.259,27,7234579,7234.579,120.5763
2007,51,1,hamilton,1,mclaren,15,30,190.278,22,.,.,.
2007,52,1,hamilton,1,mclaren,15,70,213.946,58,.,.,.
2008,18,1,hamilton,1,mclaren,15,58,218.3,39,5690616,5690.616,94.8436
2008,19,1,hamilton,1,mclaren,15,56,209.033,53,5525103,5525.103,92.08505
2008,20,1,hamilton,1,mclaren,15,56,203.969,25,.,.,.
2008,21,1,hamilton,1,mclaren,15,66,204.323,20,5903238,5903.238,98.3873
2008,22,1,hamilton,1,mclaren,15,58,222.085,31,5213230,5213.23,86.88717
2008,23,1,hamilton,1,mclaren,15,76,153.152,71,7242742,7242.742,120.7124
2008,24,1,hamilton,1,mclaren,15,19,202.559,4,.,.,.
2008,25,1,hamilton,1,mclaren,15,70,205.022,40,5564783,5564.783,92.74638
2008,26,1,hamilton,1,mclaren,15,60,199.398,16,5949440,5949.44,99.15733
2008,27,1,hamilton,1,mclaren,15,67,216.552,17,5480874,5480.874,91.3479
2008,28,1,hamilton,1,mclaren,15,70,193.533,15,5870115,5870.115,97.83525
2008,29,1,hamilton,1,mclaren,15,57,197.285,16,5737950,5737.95,95.6325
2008,30,1,hamilton,1,mclaren,15,44,233.175,20,4989933,4989.933,83.16555
2008,31,1,hamilton,1,mclaren,15,53,232.44,52,5237406,5237.406,87.2901
2008,32,1,hamilton,1,mclaren,15,61,171.969,14,7042221,7042.221,117.3704
2008,33,1,hamilton,1,mclaren,15,67,206.47,65,5500792,5500.792,91.67987
2008,34,1,hamilton,1,mclaren,15,56,203.722,13,5517403,5517.403,91.95672
2008,35,1,hamilton,1,mclaren,15,71,209.177,31,5690342,5690.342,94.83903
2009,1,1,hamilton,1,mclaren,15,58,214.455,39,.,.,.
2009,2,1,hamilton,1,mclaren,15,31,201.276,17,4312825,4312.825,71.88042
2009,3,1,hamilton,1,mclaren,15,56,171.138,39,7135351,7135.351,118.9225
2009,4,1,hamilton,1,mclaren,15,57,205.269,13,5530278,5530.278,92.1713
2009,5,1,hamilton,1,mclaren,15,65,199.883,29,.,.,.
2009,6,1,hamilton,1,mclaren,15,77,158.824,65,.,.,.
2009,7,1,hamilton,1,mclaren,15,58,216.986,53,5265302,5265.302,87.75503
2009,8,1,hamilton,1,mclaren,15,59,224.128,24,.,.,.
2009,9,1,hamilton,1,mclaren,15,59,194.331,46,.,.,.
2009,10,1,hamilton,1,mclaren,15,70,191.219,16,5903876,5903.876,98.39793
2009,11,1,hamilton,1,mclaren,15,57,196.943,57,5753647,5753.647,95.89412
2009,12,1,hamilton,1,mclaren,15,0,.,.,.,.,.
2009,13,1,hamilton,1,mclaren,15,52,245.923,52,.,.,.
2009,14,1,hamilton,1,mclaren,15,61,168.561,36,6966337,6966.337,116.1056
2009,15,1,hamilton,1,mclaren,15,53,224.162,13,5306915,5306.915,88.44858
2009,16,1,hamilton,1,mclaren,15,71,208.654,59,5562025,5562.025,92.70042
2009,17,1,hamilton,1,mclaren,15,20,199.212,16,.,.,.
2010,337,1,hamilton,1,mclaren,15,49,189.665,42,5983578,5983.578,99.7263
2010,338,1,hamilton,1,mclaren,15,58,215.7,47,5646429,5646.429,94.10715
2010,339,1,hamilton,1,mclaren,15,56,204.151,32,5651883,5651.883,94.19805
2010,340,1,hamilton,1,mclaren,15,56,192.273,13,6403693,6403.693,106.7282
2010,341,1,hamilton,1,mclaren,15,64,198.655,59,.,.,.
2010,342,1,hamilton,1,mclaren,15,78,157.755,68,6617718,6617.718,110.2953
2010,343,1,hamilton,1,mclaren,15,58,213.342,54,5327620,5327.62,88.79367
