State Name,Total Votes,Trump Vote Percentage,Biden Vote Percentage
Alabama,2323304,62.03,36.57
Alaska,391346,48.52,39.2
Arizona,3387326,49.06,49.36
Arkansas,1219069,62.4,34.78
California,17495906,34.33,63.5
Colorado,3256953,41.9,55.4
Connecticut,1824280,39.21,59.24
Delaware,504010,39.8,58.78
District of Columbia,344356,5.4,92.15
Florida,11067456,51.22,47.86
Georgia,4997716,49.26,49.5
Hawaii,574469,34.27,63.73
Idaho,868105,63.83,33.06
Illinois,6038850,40.52,57.49
Indiana,3033198,57.03,40.96
Iowa,1690871,53.09,44.89
Kansas,1349567,56.17,41.4
Kentucky,2136768,62.09,36.15
Louisiana,2148062,58.46,39.85
Maine,813740,44.23,52.9
Maryland,3037030,32.15,65.36
Massachusetts,3631402,32.14,65.6
Michigan,5539302,47.84,50.62
Minnesota,3277171,45.28,52.4
Mississippi,1315178,57.54,41.01
Missouri,3025962,56.8,41.41
Montana,605750,56.72,40.41
Nebraska,956379,58.22,39.17
Nevada,1405376,47.67,50.06
New Hampshire,804430,45.46,52.82
New Jersey,4564234,41.26,57.15
New Mexico,923965,43.5,54.29
New York,8616205,37.72,60.86
North Carolina,5524801,49.93,48.59
North Dakota,361819,65.11,31.76
Ohio,5922202,53.27,45.24
Oklahoma,1560699,65.37,32.29
Oregon,2374321,40.37,56.45
Pennsylvania,6925255,48.78,49.96
Rhode Island,516383,38.7,59.3
South Carolina,2513329,55.11,43.43
South Dakota,422609,61.77,35.61
Tennessee,3053851,60.66,37.45
Texas,11317911,52.04,46.47
Utah,1488289,58.13,37.65
Vermont,367428,30.67,66.09
Virginia,4460524,44.0,54.11
Washington,4087631,38.77,57.97
West Virginia,794652,68.63,29.7
Wisconsin,3297352,48.83,49.45
Wyoming,276765,69.94,26.55
