Country,Features,Region,Year,Amount,Unit
China,net consumption,Asia & Oceania,2021,7805.656341,billion kWh
United States,net consumption,North America,2021,3979.279761,billion kWh
India,net consumption,Asia & Oceania,2021,1442.750051,billion kWh
Russia,net consumption,Eurasia,2021,996.4429162,billion kWh
Japan,net consumption,Asia & Oceania,2021,913.0781497,billion kWh
Brazil,net consumption,Central & South America,2021,577.2953567,billion kWh
South Korea,net consumption,Asia & Oceania,2021,567.6724331,billion kWh
Canada,net consumption,North America,2021,554.7443874,billion kWh
Germany,net consumption,Europe,2021,511.6603884,billion kWh
France,net consumption,Europe,2021,447.4470538,billion kWh
Saudi Arabia,net consumption,Middle East,2021,329.0072713,billion kWh
Iran,net consumption,Middle East,2021,301.9687305,billion kWh
Mexico,net consumption,North America,2021,300.9570645,billion kWh
Italy,net consumption,Europe,2021,299.9218318,billion kWh
United Kingdom,net consumption,Europe,2021,287.3188985,billion kWh
China,net consumption,Asia & Oceania,2020,7115.077185,billion kWh
United States,net consumption,North America,2020,3897.894198,billion kWh
India,net consumption,Asia & Oceania,2020,1328.658815,billion kWh
Russia,net consumption,Eurasia,2020,940.046104,billion kWh
Japan,net consumption,Asia & Oceania,2020,914.5201395,billion kWh
Canada,net consumption,North America,2020,533.5070587,billion kWh
Brazil,net consumption,Central & South America,2020,533.36096,billion kWh
South Korea,net consumption,Asia & Oceania,2020,531.7351135,billion kWh
Germany,net consumption,Europe,2020,499.2452768,billion kWh
France,net consumption,Europe,2020,425.070898,billion kWh
Saudi Arabia,net consumption,Middle East,2020,308.3425776,billion kWh
United Kingdom,net consumption,Europe,2020,295.0513947,billion kWh
Mexico,net consumption,North America,2020,292.5304682,billion kWh
Italy,net consumption,Europe,2020,287.2633359,billion kWh
Iran,net consumption,Middle East,2020,286.693449,billion kWh
China,net consumption,Asia & Oceania,2019,6802.698896,billion kWh
United States,net consumption,North America,2019,3989.378249,billion kWh
India,net consumption,Asia & Oceania,2019,1342.052063,billion kWh
Russia,net consumption,Eurasia,2019,945.36056,billion kWh
Japan,net consumption,Asia & Oceania,2019,944.8867835,billion kWh
Canada,net consumption,North America,2019,547.2500179,billion kWh
Brazil,net consumption,Central & South America,2019,537.9698027,billion kWh
South Korea,net consumption,Asia & Oceania,2019,534.2725603,billion kWh
Germany,net consumption,Europe,2019,517.4728151,billion kWh
France,net consumption,Europe,2019,448.0217777,billion kWh
Saudi Arabia,net consumption,Middle East,2019,331.5737,billion kWh
United Kingdom,net consumption,Europe,2019,309.2651075,billion kWh
Italy,net consumption,Europe,2019,284.0286052,billion kWh
Iran,net consumption,Middle East,2019,283.763607,billion kWh
Mexico,net consumption,North America,2019,278.8829731,billion kWh
China,net consumption,Asia & Oceania,2018,6450.426757,billion kWh
United States,net consumption,North America,2018,4032.628267,billion kWh
India,net consumption,Asia & Oceania,2018,1312.596163,billion kWh
Japan,net consumption,Asia & Oceania,2018,963.9000025,billion kWh
Russia,net consumption,Eurasia,2018,931.11845,billion kWh
Canada,net consumption,North America,2018,554.0621157,billion kWh
South Korea,net consumption,Asia & Oceania,2018,542.9004483,billion kWh
Germany,net consumption,Europe,2018,532.1598444,billion kWh
Brazil,net consumption,Central & South America,2018,531.1582795,billion kWh
France,net consumption,Europe,2018,451.3417492,billion kWh
Saudi Arabia,net consumption,Middle East,2018,330.59566,billion kWh
United Kingdom,net consumption,Europe,2018,313.6035513,billion kWh
Italy,net consumption,Europe,2018,306.2798323,billion kWh
Mexico,net consumption,North America,2018,291.1822412,billion kWh
Iran,net consumption,Middle East,2018,271.485472,billion kWh
China,net consumption,Asia & Oceania,2017,6057.175784,billion kWh
United States,net consumption,North America,2017,3888.305645,billion kWh
India,net consumption,Asia & Oceania,2017,1228.624117,billion kWh
Japan,net consumption,Asia & Oceania,2017,965.224223,billion kWh
Russia,net consumption,Eurasia,2017,920.425948,billion kWh
Canada,net consumption,North America,2017,547.034675,billion kWh
Germany,net consumption,Europe,2017,540.634873,billion kWh
South Korea,net consumption,Asia & Oceania,2017,520.97747,billion kWh
Brazil,net consumption,Central & South America,2017,519.883011,billion kWh
France,net consumption,Europe,2017,454.23484,billion kWh
Saudi Arabia,net consumption,Middle East,2017,323.06642,billion kWh
United Kingdom,net consumption,Europe,2017,312.481032,billion kWh
Italy,net consumption,Europe,2017,304.722482,billion kWh
Iran,net consumption,Middle East,2017,268.628759,billion kWh
Mexico,net consumption,North America,2017,265.574923,billion kWh
China,net consumption,Asia & Oceania,2016,5585.625151,billion kWh
United States,net consumption,North America,2016,3921.110699,billion kWh
India,net consumption,Asia & Oceania,2016,1161.54307,billion kWh
Japan,net consumption,Asia & Oceania,2016,956.720654,billion kWh
Russia,net consumption,Eurasia,2016,911.41306,billion kWh
Canada,net consumption,North America,2016,548.451276,billion kWh
Germany,net consumption,Europe,2016,539.79954,billion kWh
South Korea,net consumption,Asia & Oceania,2016,516.627693,billion kWh
Brazil,net consumption,Central & South America,2016,513.88606,billion kWh
France,net consumption,Europe,2016,457.025221,billion kWh
Saudi Arabia,net consumption,Middle East,2016,318.60396,billion kWh
United Kingdom,net consumption,Europe,2016,317.4593842,billion kWh
Italy,net consumption,Europe,2016,298.250334,billion kWh
Mexico,net consumption,North America,2016,263.298089,billion kWh
Iran,net consumption,Middle East,2016,252.252,billion kWh
China,net consumption,Asia & Oceania,2015,5273.535637,billion kWh
United States,net consumption,North America,2015,3914.299176,billion kWh
India,net consumption,Asia & Oceania,2015,1093.537704,billion kWh
Japan,net consumption,Asia & Oceania,2015,962.442903,billion kWh
Russia,net consumption,Eurasia,2015,891.82394,billion kWh
Canada,net consumption,North America,2015,543.406076,billion kWh
Germany,net consumption,Europe,2015,537.623698,billion kWh
Brazil,net consumption,Central & South America,2015,512.906384,billion kWh
South Korea,net consumption,Asia & Oceania,2015,505.535225,billion kWh
France,net consumption,Europe,2015,450.044349,billion kWh
United Kingdom,net consumption,Europe,2015,320.635534,billion kWh
Saudi Arabia,net consumption,Middle East,2015,312.08536,billion kWh
Italy,net consumption,Europe,2015,300.060217,billion kWh
Mexico,net consumption,North America,2015,256.556957,billion kWh
Iran,net consumption,Middle East,2015,236.544,billion kWh
China,net consumption,Asia & Oceania,2014,5078.71756,billion kWh
United States,net consumption,North America,2014,3914.50681,billion kWh
India,net consumption,Asia & Oceania,2014,1041.945749,billion kWh
Japan,net consumption,Asia & Oceania,2014,983.904336,billion kWh
Russia,net consumption,Eurasia,2014,892.8323,billion kWh
Canada,net consumption,North America,2014,559.348308,billion kWh
Germany,net consumption,Europe,2014,534.052503,billion kWh
Brazil,net consumption,Central & South America,2014,522.46688,billion kWh
South Korea,net consumption,Asia & Oceania,2014,504.727892,billion kWh
France,net consumption,Europe,2014,440.727747,billion kWh
United Kingdom,net consumption,Europe,2014,314.402287,billion kWh
Saudi Arabia,net consumption,Middle East,2014,295.08274,billion kWh
Italy,net consumption,Europe,2014,293.964149,billion kWh
Mexico,net consumption,North America,2014,248.333396,billion kWh
Iran,net consumption,Middle East,2014,233.224,billion kWh
China,net consumption,Asia & Oceania,2013,4846.24602,billion kWh
United States,net consumption,North America,2013,3876.510978,billion kWh
Japan,net consumption,Asia & Oceania,2013,979.909071,billion kWh
India,net consumption,Asia & Oceania,2013,946.3276169,billion kWh
Russia,net consumption,Eurasia,2013,882.92126,billion kWh
Canada,net consumption,North America,2013,560.744571,billion kWh
Germany,net consumption,Europe,2013,544.830313,billion kWh
Brazil,net consumption,Central & South America,2013,508.82972,billion kWh
South Korea,net consumption,Asia & Oceania,2013,497.599475,billion kWh
France,net consumption,Europe,2013,465.150496,billion kWh
United Kingdom,net consumption,Europe,2013,327.229419,billion kWh
Italy,net consumption,Europe,2013,299.787771,billion kWh
Saudi Arabia,net consumption,Middle East,2013,263.96886,billion kWh
Mexico,net consumption,North America,2013,244.726501,billion kWh
Iran,net consumption,Middle East,2013,215.70767,billion kWh
China,net consumption,Asia & Oceania,2012,4439.87758,billion kWh
United States,net consumption,North America,2012,3838.802726,billion kWh
Japan,net consumption,Asia & Oceania,2012,1000.306711,billion kWh
India,net consumption,Asia & Oceania,2012,891.71308,billion kWh
Russia,net consumption,Eurasia,2012,890.80348,billion kWh
Germany,net consumption,Europe,2012,546.28479,billion kWh
Canada,net consumption,North America,2012,539.186083,billion kWh
Brazil,net consumption,Central & South America,2012,493.05156,billion kWh
South Korea,net consumption,Asia & Oceania,2012,492.878837,billion kWh
France,net consumption,Europe,2012,460.679742,billion kWh
United Kingdom,net consumption,Europe,2012,328.261434,billion kWh
Italy,net consumption,Europe,2012,309.529113,billion kWh
Saudi Arabia,net consumption,Middle East,2012,247.55902,billion kWh
Mexico,net consumption,North America,2012,241.758528,billion kWh
Iran,net consumption,Middle East,2012,195.32188,billion kWh
China,net consumption,Asia & Oceania,2011,4182.66356,billion kWh
United States,net consumption,North America,2011,3886.633789,billion kWh
Japan,net consumption,Asia & Oceania,2011,997.232672,billion kWh
Russia,net consumption,Eurasia,2011,870.92041,billion kWh
India,net consumption,Asia & Oceania,2011,841.71238,billion kWh
Canada,net consumption,North America,2011,548.219153,billion kWh
Germany,net consumption,Europe,2011,547.112355,billion kWh
South Korea,net consumption,Asia & Oceania,2011,481.907834,billion kWh
Brazil,net consumption,Central & South America,2011,475.7648,billion kWh
France,net consumption,Europe,2011,449.868447,billion kWh
United Kingdom,net consumption,Europe,2011,328.282185,billion kWh
Italy,net consumption,Europe,2011,315.890681,billion kWh
Mexico,net consumption,North America,2011,233.949821,billion kWh
Saudi Arabia,net consumption,Middle East,2011,211.49538,billion kWh
Iran,net consumption,Middle East,2011,186.1383,billion kWh
United States,net consumption,North America,2010,3889.289876,billion kWh
China,net consumption,Asia & Oceania,2010,3716.55362,billion kWh
Japan,net consumption,Asia & Oceania,2010,1032.074897,billion kWh
Russia,net consumption,Eurasia,2010,860.18224,billion kWh
India,net consumption,Asia & Oceania,2010,727.51078,billion kWh
Germany,net consumption,Europe,2010,553.832042,billion kWh
Canada,net consumption,North America,2010,530.103604,billion kWh
France,net consumption,Europe,2010,473.785653,billion kWh
Brazil,net consumption,Central & South America,2010,459.68232,billion kWh
South Korea,net consumption,Asia & Oceania,2010,458.783746,billion kWh
United Kingdom,net consumption,Europe,2010,339.37752,billion kWh
Italy,net consumption,Europe,2010,311.707063,billion kWh
Mexico,net consumption,North America,2010,219.213769,billion kWh
Saudi Arabia,net consumption,Middle East,2010,204.27298,billion kWh
Iran,net consumption,Middle East,2010,182.7144,billion kWh
United States,net consumption,North America,2009,3725.345123,billion kWh
China,net consumption,Asia & Oceania,2009,3290.103,billion kWh
Japan,net consumption,Asia & Oceania,2009,926.602,billion kWh
Russia,net consumption,Eurasia,2009,817.8665,billion kWh
India,net consumption,Asia & Oceania,2009,680.088,billion kWh
Canada,net consumption,North America,2009,535.105882,billion kWh
Germany,net consumption,Europe,2009,520.845,billion kWh
France,net consumption,Europe,2009,446.59636,billion kWh
Brazil,net consumption,Central & South America,2009,418.53774,billion kWh
South Korea,net consumption,Asia & Oceania,2009,409.23182,billion kWh
United Kingdom,net consumption,Europe,2009,323.73182,billion kWh
Italy,net consumption,Europe,2009,297.3527,billion kWh
Mexico,net consumption,North America,2009,202.09172,billion kWh
Saudi Arabia,net consumption,Middle East,2009,186.092,billion kWh
Iran,net consumption,Middle East,2009,169.8324,billion kWh
United States,net consumption,North America,2008,3867.360635,billion kWh
China,net consumption,Asia & Oceania,2008,3070.853,billion kWh
Japan,net consumption,Asia & Oceania,2008,954.104,billion kWh
Russia,net consumption,Eurasia,2008,857.29781,billion kWh
India,net consumption,Asia & Oceania,2008,629.04,billion kWh
Canada,net consumption,North America,2008,559.070389,billion kWh
Germany,net consumption,Europe,2008,549.904,billion kWh
France,net consumption,Europe,2008,462.5325,billion kWh
Brazil,net consumption,Central & South America,2008,419.80854,billion kWh
South Korea,net consumption,Asia & Oceania,2008,402.89236,billion kWh
United Kingdom,net consumption,Europe,2008,343.63429,billion kWh
Italy,net consumption,Europe,2008,314.60706,billion kWh
Mexico,net consumption,North America,2008,204.56938,billion kWh
Saudi Arabia,net consumption,Middle East,2008,174.236,billion kWh
Iran,net consumption,Middle East,2008,162.10814,billion kWh
United States,net consumption,North America,2007,3890.977208,billion kWh
China,net consumption,Asia & Oceania,2007,2891.542,billion kWh
Japan,net consumption,Asia & Oceania,2007,1020.313,billion kWh
Russia,net consumption,Eurasia,2007,842.49394,billion kWh
India,net consumption,Asia & Oceania,2007,580.237,billion kWh
Canada,net consumption,North America,2007,560.760367,billion kWh
Germany,net consumption,Europe,2007,552.6804,billion kWh
France,net consumption,Europe,2007,449.71518,billion kWh
Brazil,net consumption,Central & South America,2007,404.16758,billion kWh
South Korea,net consumption,Asia & Oceania,2007,387.02124,billion kWh
United Kingdom,net consumption,Europe,2007,345.0328,billion kWh
Italy,net consumption,Europe,2007,314.7246,billion kWh
Mexico,net consumption,North America,2007,202.2494,billion kWh
Saudi Arabia,net consumption,Middle East,2007,163.413,billion kWh
Iran,net consumption,Middle East,2007,153.26264,billion kWh
United States,net consumption,North America,2006,3817.37405,billion kWh
China,net consumption,Asia & Oceania,2006,2523.947,billion kWh
Japan,net consumption,Asia & Oceania,2006,980.61,billion kWh
Russia,net consumption,Eurasia,2006,818.24968,billion kWh
Canada,net consumption,North America,2006,550.193991,billion kWh
Germany,net consumption,Europe,2006,548.7564,billion kWh
India,net consumption,Asia & Oceania,2006,548.192,billion kWh
France,net consumption,Europe,2006,447.83318,billion kWh
Brazil,net consumption,Central & South America,2006,382.53928,billion kWh
