Year,Amount
1980,7323.37230532
1981,7410.429118020001
1982,7569.41368859
1983,7872.42597713
1984,8361.737720269999
1985,8662.09934855
1986,8888.36176267
1987,9278.65962181
1988,9699.46379867
1989,10131.93680828
1990,10401.81597271
1991,10607.67661792
1992,10673.91320096
1993,10881.53391897
1994,11132.10083426
1995,11506.57604131
1996,11838.24147273
1997,12154.359113929999
1998,12449.24087326
1999,12713.20813125
2000,13260.454502208
2001,13516.487704483001
2002,13969.47079299
2003,14485.847328777
2004,15157.881979106
2005,15753.236376281999
2006,16438.213770844
2007,17205.119808139
2008,17481.786006767
2009,17439.901358067
2010,18752.553064011
2011,19443.761735844
2012,19923.466554279003
2013,20578.436293732
2014,20986.463502001
2015,21405.428469819
2016,22027.454839386
2017,22721.656236509
2018,23536.389654449
2019,23921.422761672
2020,23965.641286442
2021,25342.804898624
