state,county_name,county_fips,candidate,party,candidatevotes,totalvotes
ALABAMA,AUTAUGA,01001,JOSEPH R BIDEN JR,DEMOCRAT,7503,27770
ALABAMA,AUTAUGA,01001,OTHER,OTHER,429,27770
ALABAMA,AUTAUGA,01001,DONALD J TRUMP,REPUBLICAN,19838,27770
ALABAMA,BALDWIN,01003,JOSEPH R BIDEN JR,DEMOCRAT,24578,109679
ALABAMA,BALDWIN,01003,OTHER,OTHER,1557,109679
ALABAMA,BALDWIN,01003,DONALD J TRUMP,REPUBLICAN,83544,109679
ALABAMA,BARBOUR,01005,JOSEPH R BIDEN JR,DEMOCRAT,4816,10518
ALABAMA,BARBOUR,01005,OTHER,OTHER,80,10518
ALABAMA,BARBOUR,01005,DONALD J TRUMP,REPUBLICAN,5622,10518
ALABAMA,BIBB,01007,JOSEPH R BIDEN JR,DEMOCRAT,1986,9595
ALABAMA,BIBB,01007,OTHER,OTHER,84,9595
ALABAMA,BIBB,01007,DONALD J TRUMP,REPUBLICAN,7525,9595
ALABAMA,BLOUNT,01009,JOSEPH R BIDEN JR,DEMOCRAT,2640,27588
ALABAMA,BLOUNT,01009,OTHER,OTHER,237,27588
ALABAMA,BLOUNT,01009,DONALD J TRUMP,REPUBLICAN,24711,27588
ALABAMA,BULLOCK,01011,JOSEPH R BIDEN JR,DEMOCRAT,3446,4613
ALABAMA,BULLOCK,01011,OTHER,OTHER,21,4613
ALABAMA,BULLOCK,01011,DONALD J TRUMP,REPUBLICAN,1146,4613
ALABAMA,BUTLER,01013,JOSEPH R BIDEN JR,DEMOCRAT,3965,9488
ALABAMA,BUTLER,01013,OTHER,OTHER,65,9488
ALABAMA,BUTLER,01013,DONALD J TRUMP,REPUBLICAN,5458,9488
ALABAMA,CALHOUN,01015,JOSEPH R BIDEN JR,DEMOCRAT,15216,50983
ALABAMA,CALHOUN,01015,OTHER,OTHER,666,50983
ALABAMA,CALHOUN,01015,DONALD J TRUMP,REPUBLICAN,35101,50983
ALABAMA,CHAMBERS,01017,JOSEPH R BIDEN JR,DEMOCRAT,6365,15284
ALABAMA,CHAMBERS,01017,OTHER,OTHER,166,15284
