gvkey,conml,fyear,datadate,tic,cogs,oibdp,oiadp,at,sale,xrd,xsga,xad,mkvalt,sic,gsector,gsubind
001690,Apple Inc,2010,2010-09-30,AAPL,38609,19317,18385,75183,65225,1782,7299,691,259906.4875,3663,45,45202030
001690,Apple Inc,2011,2011-09-30,AAPL,62609,35612,33790,116371,108249,2429,10028,933,354351.9056,3663,45,45202030
001690,Apple Inc,2012,2012-09-30,AAPL,84641,58446,55241,176064,156508,3381,13421,1000,626550.3528,3663,45,45202030
001690,Apple Inc,2013,2013-09-30,AAPL,99849,55756,48999,207000,170910,4475,15305,1100,428699.7978,3663,45,45202030
001690,Apple Inc,2014,2014-09-30,AAPL,104312,60449,52503,231839,182795,6041,18034,1200,591015.7208,3663,45,45202030
001690,Apple Inc,2015,2015-09-30,AAPL,129589,81730,71230,290479,233715,8067,22396,1800,615336.4559,3663,45,45202030
001690,Apple Inc,2016,2016-09-30,AAPL,121576,69276,59476,321686,215091,10045,24239,NA,603253.5663,3663,45,45202030
001690,Apple Inc,2017,2017-09-30,AAPL,131648,70744,61344,375319,229234,11581,26842,NA,790050.0981,3663,45,45202030
001690,Apple Inc,2018,2018-09-30,AAPL,154456,79962,70662,365725,265359,14236,30941,NA,1073390.5396,3663,45,45202030
001690,Apple Inc,2019,2019-09-30,AAPL,150482,75230,63930,338516,260174,16217,34462,NA,995151.5669,3663,45,45202030
001690,Apple Inc,2020,2020-09-30,AAPL,159859,75988,66288,323888,274515,18752,38668,NA,1966078.923,3663,45,45202030
001690,Apple Inc,2021,2021-09-30,AAPL,203481,118449,108949,351002,365817,21914,43887,NA,2324390.219,3663,45,45202030
001690,Apple Inc,2022,2022-09-30,AAPL,214846,128137,119437,352755,394328,26251,51345,NA,2203381.335,3663,45,45202030
012141,Microsoft Corp,2010,2010-06-30,MSFT,9888,26664,24157,86113,62484,8714,25932,1600,199450.68,7372,45,45103020
012141,Microsoft Corp,2011,2011-06-30,MSFT,13040,29698,27161,108704,69943,9043,27205,1900,217776,7372,45,45103020
012141,Microsoft Corp,2012,2012-06-30,MSFT,14772,30714,27956,121271,73723,9811,28237,1600,256374.79,7372,45,45103020
012141,Microsoft Corp,2013,2013-06-30,MSFT,16910,30836,27497,142431,77849,10411,30103,2600,287690.76,7372,45,45103020
012141,Microsoft Corp,2014,2014-06-30,MSFT,22689,31749,27504,172384,86451,11381,32013,2300,343566.3,7372,45,45103020
012141,Microsoft Corp,2015,2015-06-30,MSFT,27638,33572,28172,176223,93580,12046,32370,1900,354392.05,7372,45,45103020
012141,Microsoft Corp,2016,2016-06-30,MSFT,26902,27170,21292,193694,85320,11988,31248,1600,399535.36,7372,45,45103020
012141,Microsoft Corp,2017,2017-06-30,MSFT,26461,30432,22632,241086,89950,13037,33057,1500,531312.44,7372,45,45103020
012141,Microsoft Corp,2018,2018-06-30,MSFT,28453,44958,35058,258848,110360,14726,36949,1600,757028.97,7372,45,45103020
012141,Microsoft Corp,2019,2019-06-30,MSFT,31310,54559,42959,286556,125843,16876,39974,1600,1023856.28,7372,45,45103020
012141,Microsoft Corp,2020,2020-06-30,MSFT,33778,65259,52959,301311,143015,19269,43978,1600,1540774.21,7372,45,45103020
012141,Microsoft Corp,2021,2021-06-30,MSFT,41332,80816,69916,333779,168088,20716,45940,1500,2036897.1,7372,45,45103020
012141,Microsoft Corp,2022,2022-06-30,MSFT,48050,98109,83509,364840,198270,24512,52111,1500,1916979.12,7372,45,45103020
012141,Microsoft Corp,2023,2023-06-30,MSFT,52211,103194,89694,411976,211915,27195,56510,904,2530893.28,7372,45,45103020
064768,Amazon.com Inc,2010,2010-12-31,AMZN,26009,2064,1407,18797,34204,1734,6131,890,81180,5961,25,25503030
064768,Amazon.com Inc,2011,2011-12-31,AMZN,36288,2016,867,25278,48077,2909,9773,1400,78760.5,5961,25,25503030
064768,Amazon.com Inc,2012,2012-12-31,AMZN,44271,2535,672,32555,61093,4564,14287,2000,113894.98,5961,25,25503030
064768,Amazon.com Inc,2013,2013-12-31,AMZN,51681,3359,691,40159,74452,6565,19412,2400,183044.61,5961,25,25503030
064768,Amazon.com Inc,2014,2014-12-31,AMZN,59152,3911,130,54505,88988,9275,25925,3300,144312.75,5961,25,25503030
064768,Amazon.com Inc,2015,2015-12-31,AMZN,66751,7304,2176,65444,107006,12540,32951,3800,318344.19,5961,25,25503030
064768,Amazon.com Inc,2016,2016-12-31,AMZN,81903,10715,4066,83402,135987,16085,43369,5000,357687.99,5961,25,25503030
064768,Amazon.com Inc,2017,2017-12-31,AMZN,103103,13151,3954,131310,177866,22620,61612,6300,566023.48,5961,25,25503030
064768,Amazon.com Inc,2018,2018-12-31,AMZN,127018,24855,12242,162648,232887,28837,81014,8200,737467.27,5961,25,25503030
064768,Amazon.com Inc,2019,2019-12-31,AMZN,150386,29892,14177,225248,280522,35931,100244,11000,920224.32,5961,25,25503030
064768,Amazon.com Inc,2020,2020-12-31,AMZN,217068,39063,22315,321195,386064,42740,129933,10900,1638235.79,5961,25,25503030
064768,Amazon.com Inc,2021,2021-12-31,AMZN,249435,47850,24429,420549,469822,56052,172537,16900,1697179.06,5961,25,25503030
064768,Amazon.com Inc,2022,2022-12-31,AMZN,263907,38435,12907,462675,513983,73213,211641,20600,860328,5961,25,25503030
117768,NVIDIA Corporation,2009,2010-01-31,NVDA,2042.232,331.909,135.245,3585.918,3326.445,908.851,952.304,16.3,8640.9617,3674,45,45301020
117768,NVIDIA Corporation,2010,2011-01-31,NVDA,1953.026,579.634,392.645,4495.246,3543.309,848.83,1010.649,9.5,14078.2595,3674,45,45301020
117768,NVIDIA Corporation,2011,2012-01-31,NVDA,1729.908,880.086,675.881,5552.928,3997.93,1002.605,1387.936,8.4,9042.0611,3674,45,45301020
117768,NVIDIA Corporation,2012,2013-01-31,NVDA,1827.581,913.605,687.37,6412.245,4280.159,1147.282,1538.973,9.2,7561.4286,3674,45,45301020
117768,NVIDIA Corporation,2013,2014-01-31,NVDA,1627.293,772.885,533.737,7250.894,4130.162,1335.834,1729.984,13.1,8917.5529,3674,45,45301020
117768,NVIDIA Corporation,2014,2015-01-31,NVDA,1861.905,979.114,758.989,7201.368,4681.507,1359.725,1840.488,14.6,10465.0542,3674,45,45301020
117768,NVIDIA Corporation,2015,2016-01-31,NVDA,1982,1095,898,7370,5010,1331,1933,17,15787.31,3674,45,45301020
117768,NVIDIA Corporation,2016,2017-01-31,NVDA,2651,2139,1953,9841,6910,1463,2120,17,63870.3,3674,45,45301020
117768,NVIDIA Corporation,2017,2018-01-31,NVDA,3693,3409,3210,11241,9714,1797,2612,25,148954.8,3674,45,45301020
117768,NVIDIA Corporation,2018,2019-01-31,NVDA,4248,4110,3848,13292,11716,2376,3358,21,87112.5,3674,45,45301020
117768,NVIDIA Corporation,2019,2020-01-31,NVDA,3755,3242,2861,17315,10918,2829,3921,15,144695.16,3674,45,45301020
117768,NVIDIA Corporation,2020,2021-01-31,NVDA,4982,5897,4799,28791,16675,3924,5796,NA,322145.8,3674,45,45301020
117768,NVIDIA Corporation,2021,2022-01-31,NVDA,8265,11215,10041,44187,26914,5268,7434,NA,613619.16,3674,45,45301020
117768,NVIDIA Corporation,2022,2023-01-31,NVDA,10075,7181,5638,41182,26974,7339,9718,NA,481782.42,3674,45,45301020
160329,Alphabet Inc,2010,2010-12-31,GOOGL,9036,11762,10381,57851,29321,3762,8523,772,190843.155,7370,50,50203010
160329,Alphabet Inc,2011,2011-12-31,GOOGL,11351,14079,12242,72574,37905,5162,12475,1544,209849.6805,7370,50,50203010
160329,Alphabet Inc,2012,2012-12-31,GOOGL,17633,16258,13386,93798,50175,6793,16284,2332,233420.545,7370,50,50203010
160329,Alphabet Inc,2013,2013-12-31,GOOGL,21885,18028,14089,110920,59825,7952,19912,2848,376370.2807,7370,50,50203010
160329,Alphabet Inc,2014,2014-12-31,GOOGL,20711,21476,16874,131133,66001,9832,23814,3004,359263.2864,7370,50,50203010
160329,Alphabet Inc,2015,2015-12-31,GOOGL,23140,24384,19360,147461,74989,12282,27465,3186,528168.4352,7370,50,50203010
160329,Alphabet Inc,2016,2016-12-31,GOOGL,29038,29816,23716,167497,90272,13948,31418,3868,540659.3335,7370,50,50203010
160329,Alphabet Inc,2017,2017-12-31,GOOGL,38684,35781,28882,197295,110855,16625,36390,5100,729439.0252,7370,50,50203010
160329,Alphabet Inc,2018,2018-12-31,GOOGL,50520,40421,31392,232792,136819,21419,45878,6400,723558.7085,7370,50,50203010
160329,Alphabet Inc,2019,2019-12-31,GOOGL,60245,48133,36482,275909,161857,26018,53479,6800,921138.3192,7370,50,50203010
160329,Alphabet Inc,2020,2020-12-31,GOOGL,71053,54903,41224,319616,182527,27573,56571,5400,1183171.3128,7370,50,50203010
160329,Alphabet Inc,2021,2021-12-31,GOOGL,98509,91144,78714,359268,257637,31562,67984,7900,1917098.3413,7370,50,50203010
160329,Alphabet Inc,2022,2022-12-31,GOOGL,110274,90554,74625,365264,282836,39500,82008,9200,1136668.27,7370,50,50203010
170617,Meta Platforms Inc,2010,2010-12-31,META,354,1171,1032,2990,1974,144,449,8,NA,7370,50,50203010
170617,Meta Platforms Inc,2011,2011-12-31,META,537,2079,1756,6331,3711,388,1095,28,NA,7370,50,50203010
170617,Meta Platforms Inc,2012,2012-12-31,META,720,1182,538,15103,5089,1399,3187,67,63141.9284,7370,50,50203010
170617,Meta Platforms Inc,2013,2013-12-31,META,756,3923,2921,17895,7872,1415,3193,117,139191.003,7370,50,50203010
170617,Meta Platforms Inc,2014,2014-12-31,META,945,6224,4982,40184,12466,2666,5297,135,218221.94,7370,50,50203010
