PERMNO,date,NAMEENDT,SHRCD,EXCHCD,SICCD,NCUSIP,TICKER,COMNAM,SHRCLS,TSYMBOL,NAICS,PRIMEXCH,TRDSTAT,SECSTAT,PERMCO,ISSUNO,HEXCD,HSICCD,CUSIP,DCLRDT,DLAMT,DLPDT,DLSTCD,NEXTDT,PAYDT,RCRDDT,SHRFLG,HSICMG,HSICIG,DISTCD,DIVAMT,FACPR,FACSHR,ACPERM,ACCOMP,SHRENDDT,NWPERM,DLRETX,DLPRC,DLRET,TRTSCD,NMSIND,MMCNT,NSDINX,BIDLO,ASKHI,PRC,VOL,RET,BID,ASK,SHROUT,CFACPR,CFACSHR,ALTPRC,SPREAD,ALTPRCDT,RETX,vwretd,vwretx,ewretd,ewretx,sprtrn
84788,20050131,,11,3,7370,02313510,AMZN,AMAZON COM INC,,AMZN,454110,Q,A,R,15473,20733,3,7370,02313510,,,,,,,,0,,,,,,,,,,,,,,1,2,88,12,40.38000,44.58000,43.22000,1950816,-0.024159,43.22000,43.21000,409711,1,1,43.22000,,20050131,-0.024159,-0.026546,-0.027399,-0.029282,-0.030146,-0.025290
84788,20050228,,11,3,7370,02313510,AMZN,AMAZON COM INC,,AMZN,454110,Q,A,R,15473,20733,3,7370,02313510,,,,,,,,0,,,,,,,,,,,,,,1,2,85,1,34.14000,42.48000,35.18000,2216684,-0.186025,35.21000,35.23000,409711,1,1,35.18000,,20050228,-0.186025,0.022646,0.020810,0.016643,0.015381,0.018903
84788,20050331,,11,3,7370,02313510,AMZN,AMAZON COM INC,,AMZN,454110,Q,A,R,15473,20733,3,7370,02313510,,,,,,,,0,,,,,,,,,20050331,,,,,1,2,85,12,32.88000,36.32000,34.27000,1207038,-0.025867,34.29000,34.30000,411000,1,1,34.27000,,20050331,-0.025867,-0.016944,-0.018578,-0.031842,-0.033588,-0.019118
84788,20050429,,11,3,7370,02313510,AMZN,AMAZON COM INC,,AMZN,454110,Q,A,R,15473,20733,3,7370,02313510,,,,,,,,0,,,,,,,,,20050721,,,,,1,2,83,17,31.72000,35.28000,32.36000,1673823,-0.055734,32.35000,32.36000,410890,1,1,32.36000,,20050429,-0.055734,-0.025206,-0.026590,-0.046513,-0.047919,-0.020109
84788,20050531,,11,3,7370,02313510,AMZN,AMAZON COM INC,,AMZN,454110,Q,A,R,15473,20733,3,7370,02313510,,,,,,,,0,,,,,,,,,,,,,,1,2,85,17,33.10000,35.68000,35.51000,1178687,0.097342,35.60000,35.59000,410890,1,1,35.51000,,20050531,0.097342,0.037954,0.036151,0.043820,0.042220,0.029952
84788,20050630,,11,3,7370,02313510,AMZN,AMAZON COM INC,,AMZN,454110,Q,A,R,15473,20733,3,7370,02313510,,,,,,,,0,,,,,,,,,,,,,,1,2,85,17,33.09000,36.64000,33.09000,1076818,-0.068150,33.08000,33.06000,410890,1,1,33.09000,,20050630,-0.068150,0.011529,0.009905,0.032139,0.030197,-0.000143
84788,20050729,,11,3,7370,02313510,AMZN,AMAZON COM INC,,AMZN,454110,Q,A,R,15473,20733,3,7370,02313510,,,,,,,,0,,,,,,,,,20050929,,,,,1,2,84,17,32.91000,45.68000,45.15000,1849677,0.364461,45.15000,45.15000,411913,1,1,45.15000,,20050729,0.364461,0.043358,0.042251,0.058751,0.057705,0.035968
84788,20050831,,11,3,7370,02313510,AMZN,AMAZON COM INC,,AMZN,454110,Q,A,R,15473,20733,3,7370,02313510,,,,,,,,0,,,,,,,,,,,,,,1,2,82,17,42.31000,46.51000,42.70000,1167934,-0.054264,42.69000,42.69000,411913,1,1,42.70000,,20050831,-0.054264,-0.005958,-0.007776,-0.007216,-0.008587,-0.011222
84788,20050930,,11,3,7370,02313510,AMZN,AMAZON COM INC,,AMZN,454110,Q,A,R,15473,20733,3,7370,02313510,,,,,,,,0,,,,,,,,,20051019,,,,,1,2,81,17,41.25000,45.30000,45.30000,1064092,0.060890,45.30000,45.31000,414000,1,1,45.30000,,20050930,0.060890,0.010600,0.009331,0.010533,0.009016,0.006949
84788,20051031,,11,3,7370,02313510,AMZN,AMAZON COM INC,,AMZN,454110,Q,A,R,15473,20733,3,7370,02313510,,,,,,,,0,,,,,,,,,20051229,,,,,1,2,78,17,38.95000,46.93000,39.86000,1481344,-0.120088,39.88000,39.87000,414473,1,1,39.86000,,20051031,-0.120088,-0.020866,-0.021974,-0.033876,-0.035031,-0.017741
84788,20051130,,11,3,7370,02313510,AMZN,AMAZON COM INC,,AMZN,454110,Q,A,R,15473,20733,3,7370,02313510,,,,,,,,0,,,,,,,,,,,,,,1,2,78,17,40.37000,48.85000,48.46000,2176167,0.215755,48.45000,48.45000,414473,1,1,48.46000,,20051130,0.215755,0.040326,0.038073,0.034319,0.032775,0.035186
84788,20051230,,11,3,7370,02313510,AMZN,AMAZON COM INC,,AMZN,454110,Q,A,R,15473,20733,3,7370,02313510,,,,,,,,0,,,,,,,,,20060212,,,,,1,2,80,17,47.15000,49.50000,47.15000,1223503,-0.027033,47.14000,47.15000,416000,1,1,47.15000,,20051230,-0.027033,0.003456,0.001884,0.013484,0.011157,-0.000952
84788,20060131,,11,3,7370,02313510,AMZN,AMAZON COM INC,,AMZN,454110,Q,A,R,15473,20733,3,7370,02313510,,,,,,,,0,,,,,,,,,,,,,,1,2,78,17,43.60000,47.87000,44.82000,1243542,-0.049417,44.64000,44.68000,416000,1,1,44.82000,,20060131,-0.049417,0.040072,0.038966,0.076354,0.075150,0.025467
84788,20060228,,11,3,7370,02313510,AMZN,AMAZON COM INC,,AMZN,454110,Q,A,R,15473,20733,3,7370,02313510,,,,,,,,0,,,,,,,,,20060330,,,,,1,2,81,17,37.44000,43.98000,37.44000,1660688,-0.164659,37.42000,37.44000,416923,1,1,37.44000,,20060228,-0.164659,-0.001639,-0.003552,0.004836,0.003476,0.000453
84788,20060331,,11,3,7370,02313510,AMZN,AMAZON COM INC,,AMZN,454110,Q,A,R,15473,20733,3,7370,02313510,,,,,,,,0,,,,,,,,,20060402,,,,,1,2,79,17,35.25000,37.21000,36.53000,1225117,-0.024306,36.57000,36.57000,417000,1,1,36.53000,,20060331,-0.024306,0.019065,0.017598,0.036978,0.035232,0.011065
84788,20060428,,11,3,7370,02313510,AMZN,AMAZON COM INC,,AMZN,454110,Q,A,R,15473,20733,3,7370,02313510,,,,,,,,0,,,,,,,,,20060629,,,,,1,2,77,17,35.21000,38.51000,35.21000,1070492,-0.036135,35.24000,35.22000,417865,1,1,35.21000,,20060428,-0.036135,0.013000,0.011530,0.009791,0.008497,0.012187
