"stock","date","open","high","low","close","volume"
"AA","2011-01-07",15.82,16.72,15.78,16.42,239655616
"AA","2011-01-14",16.71,16.71,15.64,15.97,242963398
"AA","2011-01-21",16.19,16.38,15.6,15.79,138428495
"AA","2011-01-28",15.87,16.63,15.82,16.13,151379173
"AA","2011-02-04",16.18,17.39,16.18,17.14,154387761
"AA","2011-02-11",17.33,17.48,16.97,17.37,114691279
"AA","2011-02-18",17.39,17.68,17.28,17.28,80023895
"AA","2011-02-25",16.98,17.15,15.96,16.68,132981863
"AA","2011-03-04",16.81,16.94,16.13,16.58,109493077
"AA","2011-03-11",16.58,16.75,15.42,16.03,114332562
"AA","2011-03-18",15.95,16.33,15.43,16.11,130374108
"AA","2011-03-25",16.38,17.24,16.26,17.09,95550392
"AA","2011-04-01",17.13,17.8,17.02,17.47,103320396
"AA","2011-04-08",17.42,18.47,17.42,17.92,129237024
"AA","2011-04-15",18.06,18.19,16.38,16.52,213061090
"AA","2011-04-21",16.36,16.97,15.88,16.97,85235391
"AA","2011-04-29",16.94,17.24,16.66,17,90831895
"AA","2011-05-06",17.27,17.96,16.83,17.15,225053559
"AA","2011-05-13",17.16,17.62,16.75,17.1,111630753
"AA","2011-05-20",17,17.29,16.26,16.26,118281015
"AA","2011-05-27",15.96,16.48,15.83,16.48,77236662
"AA","2011-06-03",16.73,16.83,15.77,15.92,77152591
"AA","2011-06-10",15.92,16.03,15.17,15.28,94970970
"AA","2011-06-17",15.29,15.5,14.59,14.72,111273573
"AA","2011-06-24",14.67,15.6,14.56,15.23,99423717
