"stock","date","open","high","low","close","volume"
"AXP","2011-01-07",43.3,45.6,43.11,44.36,45102042
"AXP","2011-01-14",44.2,46.25,44.01,46.25,25913713
"AXP","2011-01-21",46.03,46.71,44.71,46,38824728
"AXP","2011-01-28",46.05,46.27,43.42,43.86,51427274
"AXP","2011-02-04",44.13,44.23,43.15,43.82,39501680
"AXP","2011-02-11",43.96,46.79,43.88,46.75,43746998
"AXP","2011-02-18",46.42,46.93,45.53,45.53,28564910
"AXP","2011-02-25",44.94,45.12,43.01,43.53,39654146
"AXP","2011-03-04",43.73,44.68,42.75,43.72,38985037
"AXP","2011-03-11",43.86,45.54,43.53,44.28,37613429
"AXP","2011-03-18",43.86,44.47,42.19,44.17,41757526
"AXP","2011-03-25",44.75,45.61,44.1,45.59,30798332
"AXP","2011-04-01",45.54,46.29,45.11,45.36,28738689
"AXP","2011-04-08",45.61,46.49,45.1,46.28,31114741
"AXP","2011-04-15",46.36,46.95,45.6,46.25,29090940
"AXP","2011-04-21",45.85,47.48,45.27,47.11,22929313
"AXP","2011-04-29",47.19,49.15,46.77,49.08,32470319
"AXP","2011-05-06",49.37,50.47,49.08,50.2,43997724
"AXP","2011-05-13",50.06,50.46,49.22,49.49,35427164
"AXP","2011-05-20",49.42,51.97,49.17,51.19,36565612
"AXP","2011-05-27",50.74,51.38,49.79,51.13,26359875
"AXP","2011-06-03",51.39,51.7,49.04,49.28,25215640
"AXP","2011-06-10",49.13,49.38,47.33,47.74,33828918
"AXP","2011-06-17",47.96,49.14,46.92,48.5,37705374
"AXP","2011-06-24",48.35,50.15,48.15,48.34,34877916
