"stock","date","open","high","low","close","volume"
"BA","2011-01-07",66.15,70.1,66,69.38,36258120
"BA","2011-01-14",69.42,70.5,68.35,70.07,18834664
"BA","2011-01-21",70.86,72.99,70.23,71.68,29594221
"BA","2011-01-28",71.52,72.82,69,69.23,34929673
"BA","2011-02-04",69.26,71.64,69.12,71.38,22770062
"BA","2011-02-11",71.43,72.99,71.15,72.14,21809411
"BA","2011-02-18",72.7,73.04,71.09,73.04,15989248
"BA","2011-02-25",72.35,74.29,70,72.3,26258425
"BA","2011-03-04",72.47,72.9,68.6,71.8,27527285
"BA","2011-03-11",71.6,72.5,69.91,71.64,25556296
"BA","2011-03-18",71.17,71.23,67.34,69.1,29746370
"BA","2011-03-25",70.29,73.5,70.03,73.34,24423545
"BA","2011-04-01",73.5,74.85,73.03,74.01,20590618
"BA","2011-04-08",73.38,74.85,72.71,73.47,21220138
"BA","2011-04-15",73.65,74.28,70.88,72.6,19492289
"BA","2011-04-21",72.72,75.44,71.75,75.44,16947409
"BA","2011-04-29",75.51,80.34,74.68,79.78,30503034
"BA","2011-05-06",80.35,80.65,78.09,79.31,25394946
"BA","2011-05-13",79.31,80.42,78.48,79.03,18368201
"BA","2011-05-20",78.66,78.81,75.83,77.52,19990094
"BA","2011-05-27",76.55,76.99,75.13,76.99,15886795
"BA","2011-06-03",77.8,78.35,74.09,74.84,17813730
"BA","2011-06-10",74.76,75.27,72.61,72.69,18574466
"BA","2011-06-17",73.06,75.51,72.69,74.16,25381159
"BA","2011-06-24",73.96,75.02,70.29,71.26,30675314
