"stock","date","open","high","low","close","volume"
"BAC","2011-01-07",13.85,14.69,13.8,14.25,1453438639
"BAC","2011-01-14",14.17,15.25,14.09,15.25,760935694
"BAC","2011-01-21",15.08,15.16,13.94,14.25,982445809
"BAC","2011-01-28",14.25,14.26,13.4,13.6,1054415375
"BAC","2011-02-04",13.71,14.47,13.64,14.29,757192224
"BAC","2011-02-11",14.51,14.87,14.35,14.77,746465458
"BAC","2011-02-18",14.77,14.95,14.69,14.75,458423511
"BAC","2011-02-25",14.38,14.52,13.79,14.2,712456757
"BAC","2011-03-04",14.27,14.48,13.81,14.12,699671790
"BAC","2011-03-11",14.18,14.7,13.92,14.38,805210688
"BAC","2011-03-18",14.26,14.35,13.66,14.04,792380862
"BAC","2011-03-25",14.2,14.22,13.32,13.34,717678994
"BAC","2011-04-01",13.42,13.61,13.16,13.37,499672763
"BAC","2011-04-08",13.4,13.88,13.37,13.48,480033181
"BAC","2011-04-15",13.5,13.64,12.82,12.82,670594575
"BAC","2011-04-21",12.59,12.6,12.15,12.31,624897506
"BAC","2011-04-29",12.32,12.6,12.23,12.28,557530217
"BAC","2011-05-06",12.36,12.71,12.2,12.31,577232010
"BAC","2011-05-13",12.28,12.43,11.91,11.93,623724296
"BAC","2011-05-20",11.89,12.11,11.53,11.58,658968285
"BAC","2011-05-27",11.47,11.69,11.29,11.69,479389107
"BAC","2011-06-03",11.87,11.92,11.08,11.28,596420503
"BAC","2011-06-10",11.18,11.2,10.41,10.8,873241317
"BAC","2011-06-17",10.89,11.12,10.4,10.68,889460755
"BAC","2011-06-24",10.59,10.94,10.48,10.52,603098073
