"stock","date","open","high","low","close","volume"
"CAT","2011-01-07",94.38,94.81,92.3,93.73,24135903
"CAT","2011-01-14",93.21,94.7,92.51,94.01,19707235
"CAT","2011-01-21",94.16,96.8,92.37,92.75,28651009
"CAT","2011-01-28",92.71,97.79,92.51,95.68,34929068
"CAT","2011-02-04",96.13,99.72,95.85,99.59,31169285
"CAT","2011-02-11",99.62,103.55,98.75,103.54,27632394
"CAT","2011-02-18",103.56,105.86,102.01,105.86,16331886
"CAT","2011-02-25",104.86,105.3,98.03,102,28146727
"CAT","2011-03-04",102.72,104.43,99.35,103.04,29851515
"CAT","2011-03-11",103.42,104.45,97.01,100.02,38614049
"CAT","2011-03-18",102.59,105.64,98.55,105.06,54195667
"CAT","2011-03-25",106.9,110.15,105.64,109.09,37837456
"CAT","2011-04-01",109.54,113.59,108.61,113.12,28116391
"CAT","2011-04-08",113.75,113.93,108.88,109.82,28772937
"CAT","2011-04-15",110.02,110.3,105.35,107.21,30697889
"CAT","2011-04-21",105.58,109.42,102.16,109.42,23938892
"CAT","2011-04-29",109.24,116.25,107.95,115.41,34522949
"CAT","2011-05-06",116.24,116.55,108.39,110.34,39678464
"CAT","2011-05-13",110.8,112.97,106.02,106.33,38211403
"CAT","2011-05-20",105.87,108.27,101.47,104.33,54274252
"CAT","2011-05-27",101.3,104.6,100.3,104.6,30213720
"CAT","2011-06-03",106.41,106.6,99.15,101.1,35887587
"CAT","2011-06-10",100.25,101.61,96.42,96.79,40431926
"CAT","2011-06-17",96.93,98.45,94.2,95.95,43606429
"CAT","2011-06-24",96.49,102.5,96.05,100.01,43722864
