"stock","date","open","high","low","close","volume"
"CSCO","2011-01-07",20.45,21,20.38,20.97,303545878
"CSCO","2011-01-14",20.94,21.23,20.7,21.21,154708263
"CSCO","2011-01-21",21.22,21.33,20.5,20.72,193706863
"CSCO","2011-01-28",20.84,21.61,20.73,20.93,265687272
"CSCO","2011-02-04",20.93,22.15,20.71,22.05,236334561
"CSCO","2011-02-11",22.11,22.34,18.61,18.7,1000362015
"CSCO","2011-02-18",18.84,18.95,18.56,18.85,390258123
"CSCO","2011-02-25",18.73,18.74,18.23,18.64,285212201
"CSCO","2011-03-04",18.62,18.79,18.31,18.4,302059981
"CSCO","2011-03-11",18.36,18.37,17.76,17.95,311209442
"CSCO","2011-03-18",17.81,17.88,16.97,17.14,444161658
"CSCO","2011-03-25",17.34,17.64,17.2,17.28,284574143
"CSCO","2011-04-01",17.36,17.6,16.99,17.04,308644641
"CSCO","2011-04-08",17.01,18.29,17,17.65,539982011
"CSCO","2011-04-15",17.71,17.76,16.97,17.03,324203125
"CSCO","2011-04-21",16.88,16.96,16.52,16.94,249420898
"CSCO","2011-04-29",16.93,17.64,16.9,17.52,412492845
"CSCO","2011-05-06",17.51,17.7,17.28,17.56,290282402
"CSCO","2011-05-13",17.53,17.99,16.64,16.88,563552552
"CSCO","2011-05-20",16.82,16.87,16.34,16.53,371711669
"CSCO","2011-05-27",16.41,16.46,16.11,16.46,235050333
"CSCO","2011-06-03",16.59,16.82,15.98,16.01,256069538
"CSCO","2011-06-10",16.04,16.17,15.01,15.12,412198054
"CSCO","2011-06-17",15.14,15.28,14.78,14.97,401380782
"CSCO","2011-06-24",14.94,15.64,14.92,14.93,429730443
