"stock","date","open","high","low","close","volume"
"CVX","2011-01-07",91.66,92.48,90.27,91.19,35556288
"CVX","2011-01-14",90.95,92.85,90.12,92.83,28260512
"CVX","2011-01-21",92.94,93.94,91.58,93.78,27752622
"CVX","2011-01-28",93.89,94.97,92.93,93.37,42303108
"CVX","2011-02-04",93.85,97.44,93.37,97.11,48766293
"CVX","2011-02-11",97.28,98.23,95.7,96.45,38838595
"CVX","2011-02-18",95.5,98.72,95.5,98.72,28037827
"CVX","2011-02-25",99.23,103.94,99.23,102.1,57897831
"CVX","2011-03-04",102.28,104.99,102.18,103.75,48214502
"CVX","2011-03-11",104.12,104.77,97.6,99.93,43673568
"CVX","2011-03-18",99.16,103.97,97.98,102.8,56186791
"CVX","2011-03-25",103.86,107.01,103.2,106.78,39606692
"CVX","2011-04-01",106.4,109.65,105.52,108.32,35824123
"CVX","2011-04-08",108.52,109.94,107.51,109.66,31958307
"CVX","2011-04-15",109.74,109.9,103.13,106.24,42617245
"CVX","2011-04-21",104.95,108.34,103.04,108.13,18873837
"CVX","2011-04-29",107.37,109.6,106.68,109.44,28004621
"CVX","2011-05-06",109.48,109.57,101.11,102.88,44930373
"CVX","2011-05-13",103.25,104.95,100.41,102.39,43103424
"CVX","2011-05-20",102.03,104.53,99.61,102.57,39951901
"CVX","2011-05-27",101.13,103.86,100.7,103.21,28858240
"CVX","2011-06-03",104.61,105.21,99.57,101,32206213
"CVX","2011-06-10",100.9,101.87,98.98,99.67,35612426
"CVX","2011-06-17",100.04,101.29,97.71,99.17,44845243
"CVX","2011-06-24",98.88,102.46,97,97.9,42615162
