"stock","date","open","high","low","close","volume"
"DD","2011-01-07",50.05,50.54,49.28,49.76,27658789
"DD","2011-01-14",48.3,49.8,47.2,49.8,34546875
"DD","2011-01-21",49.53,50.14,47.65,48.35,25611091
"DD","2011-01-28",48.44,50.66,48.26,50.29,45429653
"DD","2011-02-04",50.15,52.63,50.09,52.53,31069977
"DD","2011-02-11",52.62,54.75,52.51,54.58,37155830
"DD","2011-02-18",54.44,55.98,53.8,55.98,27705910
"DD","2011-02-25",54.95,55.3,52.36,54.07,33190716
"DD","2011-03-04",54.22,54.95,52.76,53.87,32958368
"DD","2011-03-11",54.1,54.49,51.82,52.9,27091813
"DD","2011-03-18",53.18,53.5,51.1,52.99,39779608
"DD","2011-03-25",53.8,54.64,52.89,54.1,24464568
"DD","2011-04-01",54.11,55.8,53.7,55.19,23341552
"DD","2011-04-08",55.5,56.52,55,55.4,19685778
"DD","2011-04-15",55.45,55.81,53.17,54.89,24059673
"DD","2011-04-21",54.28,56,53.19,55.91,15537427
"DD","2011-04-29",55.69,56.88,54.54,56.79,27349183
"DD","2011-05-06",56.42,57,53.59,54.63,27498887
"DD","2011-05-13",54.94,56.13,52.55,52.91,27207924
"DD","2011-05-20",52.74,54,51.92,52.74,27511651
"DD","2011-05-27",51.75,52.56,50.5,52.56,24845668
"DD","2011-06-03",53.18,53.39,50.11,50.29,25203572
"DD","2011-06-10",50.3,50.9,49.52,49.78,28186429
"DD","2011-06-17",50.03,50.63,48.64,49.57,36027620
"DD","2011-06-24",49.5,51.98,49.46,51.96,34797906
