"stock","date","open","high","low","close","volume"
"DIS","2011-01-07",37.74,40,37.62,39.45,72917621
"DIS","2011-01-14",39.01,39.81,38.92,39.29,31943413
"DIS","2011-01-21",39.07,39.94,38.51,39.74,36187032
"DIS","2011-01-28",39.64,39.95,38.65,38.85,42131642
"DIS","2011-02-04",39.04,40.77,38.64,40.71,53521486
"DIS","2011-02-11",40.8,44.05,40.71,43.41,83975520
"DIS","2011-02-18",43.19,43.9,42.98,43.56,33868302
"DIS","2011-02-25",42.83,43.28,41.6,42.95,56966763
"DIS","2011-03-04",43.02,44.34,42.97,43.55,53096584
"DIS","2011-03-11",43.53,43.61,42.16,42.93,41229388
"DIS","2011-03-18",42.64,42.67,40.42,41.23,65060004
"DIS","2011-03-25",41.46,43.24,40.87,42.97,40696371
"DIS","2011-04-01",43.19,43.48,42.36,42.85,34130223
"DIS","2011-04-08",42.87,43.05,41.4,41.76,39055258
"DIS","2011-04-15",41.76,42.02,40.84,41.52,40820710
"DIS","2011-04-21",40.97,42.46,40.45,42.27,24312043
"DIS","2011-04-29",42.34,43.35,41.71,43.1,30122091
"DIS","2011-05-06",43.47,43.79,42.3,43.06,35369886
"DIS","2011-05-13",43.32,44.12,40.94,41.52,78855110
"DIS","2011-05-20",41.26,41.84,40.68,41.5,50988843
"DIS","2011-05-27",41.15,41.52,40.55,41.52,34651349
"DIS","2011-06-03",41.9,41.99,39.17,39.38,52169227
"DIS","2011-06-10",39.18,39.88,38.42,38.5,49099516
"DIS","2011-06-17",38.63,38.86,37.77,38.04,54513950
"DIS","2011-06-24",37.85,38.89,37.19,37.58,50409504
