"stock","date","open","high","low","close","volume"
"GE","2011-01-07",18.49,18.72,18.12,18.43,280146510
"GE","2011-01-14",18.61,18.82,18.46,18.82,215626229
"GE","2011-01-21",18.98,19.97,18.17,19.74,449508777
"GE","2011-01-28",19.93,20.74,19.74,20.2,437317986
"GE","2011-02-04",20.13,20.96,20.1,20.56,246591055
"GE","2011-02-11",20.77,21.44,20.73,21.33,252254376
"GE","2011-02-18",21.51,21.65,21.24,21.44,158691572
"GE","2011-02-25",20.88,21.21,20.08,20.82,268500170
"GE","2011-03-04",20.95,21.17,20.16,20.37,261175412
"GE","2011-03-11",20.4,20.79,19.94,20.36,303566341
"GE","2011-03-18",19.96,20.09,18.6,19.25,520516218
"GE","2011-03-25",19.68,19.93,19.25,19.75,227819072
"GE","2011-04-01",19.81,20.5,19.53,20.34,207897262
"GE","2011-04-08",20.73,20.75,20.07,20.19,238618636
"GE","2011-04-15",20.24,20.37,19.6,20.04,212315926
"GE","2011-04-21",19.77,20.54,19.51,19.95,182835072
"GE","2011-04-29",20.14,20.85,19.89,20.45,280299000
"GE","2011-05-06",20.7,20.71,19.81,20.01,235180053
"GE","2011-05-13",19.97,20.42,19.76,19.89,195448891
"GE","2011-05-20",19.85,20.05,19.41,19.62,228297982
"GE","2011-05-27",19.32,19.52,18.97,19.44,169411364
"GE","2011-06-03",19.68,19.72,18.75,18.82,207576381
"GE","2011-06-10",18.71,18.8,18.14,18.32,260898990
"GE","2011-06-17",18.31,18.9,18.2,18.49,261979707
"GE","2011-06-24",18.34,18.94,17.97,17.97,295978977
