"stock","date","open","high","low","close","volume"
"HD","2011-01-07",35.2,35.57,34.18,34.38,56576860
"HD","2011-01-14",34.16,35.89,34.07,35.89,41918450
"HD","2011-01-21",35.97,36.99,35.48,36.51,45249920
"HD","2011-01-28",36.46,38.12,36.3,36.7,63397367
"HD","2011-02-04",37.13,37.18,36.38,36.8,41844858
"HD","2011-02-11",36.8,37.48,36.41,37.48,36079400
"HD","2011-02-18",37.47,38.48,37.27,38.48,30619613
"HD","2011-02-25",39.3,39.38,36.78,37.08,54816070
"HD","2011-03-04",37.15,37.86,36.33,37.22,49763519
"HD","2011-03-11",37.26,37.78,36.54,37.14,49156185
"HD","2011-03-18",36.92,36.94,35.43,36,52758908
"HD","2011-03-25",36.29,37.82,36.03,37.42,40337534
"HD","2011-04-01",37.46,37.87,36.62,37.56,52881329
"HD","2011-04-08",37.48,37.96,37.21,37.46,47021433
"HD","2011-04-15",37.45,38.4,37.17,38.17,42983064
"HD","2011-04-21",37.7,38.5,37.2,37.8,24190528
"HD","2011-04-29",37.61,37.71,36.94,37.15,61019095
"HD","2011-05-06",37.44,37.67,36.77,36.99,52439439
"HD","2011-05-13",36.93,37.43,36.7,37.01,41391929
"HD","2011-05-20",36.69,37.94,36.55,37.05,53378802
"HD","2011-05-27",36,37,36,36,40673778
"HD","2011-06-03",36.18,36.28,34.43,34.63,39307513
"HD","2011-06-10",34.53,35.02,33.42,33.47,45606663
"HD","2011-06-17",33.46,34.93,33.41,34.53,76297124
"HD","2011-06-24",34.29,35.69,34.28,35.08,65416820
