"stock","date","open","high","low","close","volume"
"HPQ","2011-01-07",42.22,45.39,42.22,45.09,100020724
"HPQ","2011-01-14",44.86,46.25,44.57,46.25,65464211
"HPQ","2011-01-21",46.14,47.64,45.76,47.23,82623453
"HPQ","2011-01-28",46.69,47.83,45.36,45.51,84066350
"HPQ","2011-02-04",45.41,47.52,45.13,47.43,74475624
"HPQ","2011-02-11",47.71,49.39,47.61,48.64,84089936
"HPQ","2011-02-18",48.45,49.12,47.54,48.67,49401750
"HPQ","2011-02-25",47.57,48.55,42.08,42.68,211147488
"HPQ","2011-03-04",43.06,43.85,42.06,42.61,110702335
"HPQ","2011-03-11",42.9,43.05,41.26,41.73,85140794
"HPQ","2011-03-18",41.31,42.15,40.1,41.32,121051768
"HPQ","2011-03-25",41.85,43.28,41.35,42.53,78089358
"HPQ","2011-04-01",42.42,42.83,37.6,40.98,90069975
"HPQ","2011-04-08",40.65,41.8,40.2,40.7,87672936
"HPQ","2011-04-15",40.71,41.55,40.12,40.26,70321527
"HPQ","2011-04-21",39.96,41.19,39.16,40.99,46244533
"HPQ","2011-04-29",41.06,41.3,39.99,40.37,82362537
"HPQ","2011-05-06",40.69,41.52,39.8,40.81,70249698
"HPQ","2011-05-13",40.79,41.74,40.22,40.41,63498759
"HPQ","2011-05-20",40.2,40.34,35.91,35.98,217523955
"HPQ","2011-05-27",35.58,36.96,35.44,36.96,106507716
"HPQ","2011-06-03",37.28,37.52,36,36.11,79313559
"HPQ","2011-06-10",35.99,36.24,35.14,35.25,74301015
"HPQ","2011-06-17",35.13,35.32,33.95,35,134346312
"HPQ","2011-06-24",34.79,35.65,34.55,34.9,102774442
