"stock","date","open","high","low","close","volume"
"IBM","2011-01-07",147.21,148.86,146.64,147.93,23492843
"IBM","2011-01-14",147,150,146,150,15335348
"IBM","2011-01-21",149.82,156.78,149.38,155.5,35770931
"IBM","2011-01-28",155.42,164.35,155.33,159.21,32510483
"IBM","2011-02-04",159.18,164.2,158.68,164,25377163
"IBM","2011-02-11",164.08,166.25,163.18,163.85,26106753
"IBM","2011-02-18",164.18,164.84,162.52,164.84,14352613
"IBM","2011-02-25",163.57,164.26,159.03,162.28,21443811
"IBM","2011-03-04",162.36,164.31,159.41,161.83,21549118
"IBM","2011-03-11",161.6,167.72,158.85,162.43,31119857
"IBM","2011-03-18",161.16,161.98,151.71,155.89,41827781
"IBM","2011-03-25",157.64,162.74,157.07,162.18,25381792
"IBM","2011-04-01",161.54,164.42,161.12,164.27,19081936
"IBM","2011-04-08",164.42,164.75,163.16,164.05,17615408
"IBM","2011-04-15",163.44,166.34,162.3,166.21,22183383
"IBM","2011-04-21",164.64,168.28,162.19,168.28,23662621
"IBM","2011-04-29",167.65,173,167.23,170.58,26829625
"IBM","2011-05-06",172.11,173.54,167.5,168.89,29480567
"IBM","2011-05-13",168.39,172.77,167.82,169.92,23505533
"IBM","2011-05-20",169.81,171.41,166.53,170.16,26027660
"IBM","2011-05-27",168.5,168.6,165.9,167.5,19453763
"IBM","2011-06-03",168.44,169.89,164.13,165.05,23349972
"IBM","2011-06-10",164.76,165.96,162.87,163.18,20646079
"IBM","2011-06-17",164.44,165.1,161.52,164.44,29390025
"IBM","2011-06-24",163.7,166.81,163.59,165.07,22984546
