"stock","date","open","high","low","close","volume"
"INTC","2011-01-07",21.01,21.21,20.27,20.66,386719626
"INTC","2011-01-14",20.71,21.33,20.57,21.08,274111012
"INTC","2011-01-21",21.03,21.2,20.62,20.82,218479469
"INTC","2011-01-28",21.03,21.94,20.93,21.46,325168191
"INTC","2011-02-04",21.55,21.71,21.03,21.68,277969054
"INTC","2011-02-11",21.74,21.86,21.35,21.76,236842359
"INTC","2011-02-18",21.63,22.14,21.28,22.14,201181541
"INTC","2011-02-25",21.95,22.19,21.01,21.86,256135777
"INTC","2011-03-04",21.75,22.08,21.35,21.56,291751623
"INTC","2011-03-11",21.69,21.74,20.61,20.87,289874871
"INTC","2011-03-18",20.66,20.88,19.71,19.93,347426088
"INTC","2011-03-25",19.9,20.6,19.88,20.37,229150771
"INTC","2011-04-01",20.44,20.66,19.56,19.72,321390635
"INTC","2011-04-08",19.79,20.2,19.36,20.02,286343950
"INTC","2011-04-15",20.07,20.2,19.41,19.75,231298341
"INTC","2011-04-21",19.53,21.46,19.45,21.46,302470339
"INTC","2011-04-29",21.37,23.19,21.33,23.15,466579710
"INTC","2011-05-06",23.02,23.86,22.67,23.25,513891027
"INTC","2011-05-13",23.13,23.83,22.65,23.41,344755154
"INTC","2011-05-20",23.32,23.96,23.08,23.22,387571150
"INTC","2011-05-27",22.92,23.03,22.21,22.21,210446967
"INTC","2011-06-03",22.45,22.64,21.67,21.73,222978209
"INTC","2011-06-10",21.8,22.44,21.26,21.38,249719951
"INTC","2011-06-17",21.43,26.78,21.07,21.19,294273143
"INTC","2011-06-24",21.19,21.74,21.06,21.2,309031457
