"stock","date","open","high","low","close","volume"
"JNJ","2011-01-07",62.63,63.54,62.53,62.6,57774737
"JNJ","2011-01-14",62.29,62.98,62,62.55,34950419
"JNJ","2011-01-21",62.21,63.25,62.01,62.66,47999880
"JNJ","2011-01-28",62.56,62.72,60,60.01,86229071
"JNJ","2011-02-04",60.16,60.99,59.69,60.84,63641929
"JNJ","2011-02-11",60.88,61.17,60.42,60.7,42897125
"JNJ","2011-02-18",60.69,61.11,60.33,61.11,33273371
"JNJ","2011-02-25",60.68,61.08,59.36,59.64,46786798
"JNJ","2011-03-04",59.93,61.5,59.77,61.06,63576642
"JNJ","2011-03-11",61.09,61.1,59.11,59.69,53844149
"JNJ","2011-03-18",59.49,59.49,57.5,58.57,71716802
"JNJ","2011-03-25",58.67,59.16,58.5,58.98,47498000
"JNJ","2011-04-01",58.98,59.73,58.93,59.49,48029143
"JNJ","2011-04-08",59.5,60.18,59.25,59.46,47141409
"JNJ","2011-04-15",59.54,60.95,59.49,60.56,58631682
"JNJ","2011-04-21",60.45,64.54,60.1,64.07,72888066
"JNJ","2011-04-29",63.65,65.98,63.4,65.72,70745990
"JNJ","2011-05-06",65.92,66.46,64.8,65.27,68840083
"JNJ","2011-05-13",65.11,67.37,65.07,66.62,66040498
"JNJ","2011-05-20",66.41,66.79,65.28,65.69,53385097
"JNJ","2011-05-27",65.19,66.77,65.08,66.77,49866786
"JNJ","2011-06-03",67.31,67.34,65.8,66.09,47426009
"JNJ","2011-06-10",65.87,67.28,65.18,66.09,52231924
"JNJ","2011-06-17",66.32,67.36,65.47,66.29,58201928
"JNJ","2011-06-24",66.08,66.75,64.69,65.06,56535090
