"stock","date","open","high","low","close","volume"
"JPM","2011-01-07",43,44.95,42.64,43.64,234547885
"JPM","2011-01-14",43.27,44.97,43,44.91,144662779
"JPM","2011-01-21",45.02,45.54,43.6,45.29,182971761
"JPM","2011-01-28",45.21,45.88,44.26,44.54,154832501
"JPM","2011-02-04",44.41,46,44.3,44.59,137430065
"JPM","2011-02-11",44.75,46.89,44.65,46.57,162434145
"JPM","2011-02-18",46,48,46,48,131941706
"JPM","2011-02-25",47.2,47.27,45.21,46.68,139540125
"JPM","2011-03-04",46.81,47.18,45.07,45.52,139051830
"JPM","2011-03-11",45.62,47.1,44.76,45.74,140414285
"JPM","2011-03-18",45.42,46.18,43.4,45.74,226413618
"JPM","2011-03-25",46.28,46.38,44.77,45.86,117959443
"JPM","2011-04-01",46.1,46.88,45.51,46.35,112702290
"JPM","2011-04-08",46.12,47.8,46.05,46.84,121937602
"JPM","2011-04-15",47,47.37,44.83,44.89,186017520
"JPM","2011-04-21",44.27,44.97,43.53,44.68,113261188
"JPM","2011-04-29",44.65,46.02,44.38,45.63,107332185
"JPM","2011-05-06",45.94,46.07,44.76,45.04,131213937
"JPM","2011-05-13",44.75,45.5,42.98,43.15,137013704
"JPM","2011-05-20",42.97,44.35,42.65,43.13,145114846
"JPM","2011-05-27",42.4,42.92,41.69,42.79,119828886
"JPM","2011-06-03",43.24,43.38,40.83,41.57,145187926
"JPM","2011-06-10",41.1,41.5,40.1,41.05,194764785
"JPM","2011-06-17",41.29,42.44,39.7,40.8,183560880
"JPM","2011-06-24",40.5,41.53,39.44,39.49,167589521
