"stock","date","open","high","low","close","volume"
"KO","2011-01-07",65.88,65.88,62.56,62.92,59802189
"KO","2011-01-14",62.7,63.86,62.56,63.13,31297830
"KO","2011-01-21",63.21,63.92,62.72,62.77,36000586
"KO","2011-01-28",62.87,63.31,62.14,62.21,42141599
"KO","2011-02-04",62.32,63.48,61.89,62.56,34863226
"KO","2011-02-11",62.67,64.75,62.32,63.57,46269528
"KO","2011-02-18",63.67,64.72,62.55,64.55,29937386
"KO","2011-02-25",63.36,64.4,63.33,64.31,32331825
"KO","2011-03-04",64.17,65.87,63.86,65.21,61665987
"KO","2011-03-11",65.32,65.84,64.47,64.81,44560041
"KO","2011-03-18",64.34,64.61,61.29,62.7,59542953
"KO","2011-03-25",63.13,65.39,63.05,65.22,29853434
"KO","2011-04-01",65.2,67.48,65.03,67.22,39265955
"KO","2011-04-08",67.22,67.82,66.86,67.27,32024467
"KO","2011-04-15",67.25,68.47,66.41,68.01,40595470
"KO","2011-04-21",67.57,68.05,66.64,67.88,19831270
"KO","2011-04-29",67.95,67.98,65.81,67.46,44603365
"KO","2011-05-06",67.76,67.93,66.4,66.9,33947562
"KO","2011-05-13",66.86,68.77,66.83,68.18,32166394
"KO","2011-05-20",68.1,68.7,67.5,68.3,32520067
"KO","2011-05-27",67.59,67.9,66.3,66.51,26066805
"KO","2011-06-03",66.94,67.24,65.21,65.53,31192400
"KO","2011-06-10",65.51,68.05,65.07,65.39,30422351
"KO","2011-06-17",65.1,66.23,64.64,65.62,43194922
"KO","2011-06-24",65.37,66.82,64.43,64.93,49806614
