"stock","date","open","high","low","close","volume"
"KRFT","2011-01-07",31.76,31.76,31.14,31.19,44971770
"KRFT","2011-01-14",30.91,31.72,30.89,31.34,24955086
"KRFT","2011-01-21",31.41,31.52,30.89,31.35,41200255
"KRFT","2011-01-28",31.39,31.77,30.5,30.53,55657855
"KRFT","2011-02-04",30.53,31.22,30.21,31.19,34764359
"KRFT","2011-02-11",31.18,31.25,30.24,30.66,65912258
"KRFT","2011-02-18",30.67,30.93,30.26,30.91,38172345
"KRFT","2011-02-25",30.72,32.2,30.66,31.71,50462721
"KRFT","2011-03-04",31.82,31.88,31.28,31.58,55211152
"KRFT","2011-03-11",31.56,31.79,31.18,31.7,41766976
"KRFT","2011-03-18",31.51,31.6,30.45,30.99,51736270
"KRFT","2011-03-25",30.78,31.49,30.43,31.26,41958399
"KRFT","2011-04-01",31.35,31.7,31.06,31.61,38759730
"KRFT","2011-04-08",31.71,31.88,31.35,31.67,34314135
"KRFT","2011-04-15",31.73,33.54,31.69,33.36,71530535
"KRFT","2011-04-21",32.72,33.67,32.7,33.38,33399240
"KRFT","2011-04-29",33.45,33.9,33,33.59,42547809
"KRFT","2011-05-06",33.6,34.49,33.22,34.08,58969733
"KRFT","2011-05-13",33.81,35.1,33.8,34.89,47572999
"KRFT","2011-05-20",34.84,35.44,34.48,35.23,48017488
"KRFT","2011-05-27",34.97,35.06,34.28,34.75,31660711
"KRFT","2011-06-03",34.79,35,34.05,34.1,38915498
"KRFT","2011-06-10",34.07,34.39,24.3,33.79,43535139
"KRFT","2011-06-17",33.92,34.72,33.76,34.48,44641104
"KRFT","2011-06-24",34.39,34.98,33.87,34.6,39770714
