"stock","date","open","high","low","close","volume"
"MMM","2011-01-07",86.75,87.9,85.63,86.23,16166921
"MMM","2011-01-14",85.7,88.8,85.7,88.1,11585909
"MMM","2011-01-21",87.84,89.39,87.25,89.29,10705548
"MMM","2011-01-28",89.21,90.5,87.2,87.44,26110543
"MMM","2011-02-04",87.93,88.45,87.31,88.29,14960948
"MMM","2011-02-11",88.17,91.95,87.81,91.8,16315175
"MMM","2011-02-18",91.72,92.96,91,92.96,13431331
"MMM","2011-02-25",92.73,93.65,89.27,90.25,17249356
"MMM","2011-03-04",91.9,93.4,90.24,92.19,17453306
"MMM","2011-03-11",92.58,94.16,89.71,91.61,18144593
"MMM","2011-03-18",91.21,91.21,86.91,88.98,23633329
"MMM","2011-03-25",90.27,92.98,90.17,92.27,14970403
"MMM","2011-04-01",92.42,94.33,91.9,93.13,14958061
"MMM","2011-04-08",92.68,94.1,92.6,93.22,12672220
"MMM","2011-04-15",93.59,94.64,91.75,92.82,15375510
"MMM","2011-04-21",91.94,94.42,90.58,93.92,9718851
"MMM","2011-04-29",93.91,97.5,93.27,97.21,20655611
"MMM","2011-05-06",97.58,97.95,94.4,95.6,17031494
"MMM","2011-05-13",95.3,97.18,94.44,96.01,15657591
"MMM","2011-05-20",95.54,96.23,92.75,93.56,16596686
"MMM","2011-05-27",92.29,93.47,91.38,93.47,11695384
"MMM","2011-06-03",94.05,94.68,90.19,90.7,12491882
"MMM","2011-06-10",90.38,92.43,90.24,90.73,14734714
"MMM","2011-06-17",91.14,92.99,90.58,91.78,15549946
"MMM","2011-06-24",91.42,93.92,90.68,90.89,15126028
