"stock","date","open","high","low","close","volume"
"MRK","2011-01-07",36.29,37.35,35.85,37.35,72760487
"MRK","2011-01-14",37.26,37.61,34.23,34.23,108158891
"MRK","2011-01-21",34.07,34.3,33.48,33.9,131132702
"MRK","2011-01-28",33.99,33.99,33,33.07,110066602
"MRK","2011-02-04",33.29,34.04,32.51,32.89,114880019
"MRK","2011-02-11",32.94,33.3,32.74,33.07,62039482
"MRK","2011-02-18",32.97,33.19,32.65,32.85,54419625
"MRK","2011-02-25",32.75,32.8,31.85,32.19,57467917
"MRK","2011-03-04",32.2,33.36,32.19,33.06,128028062
"MRK","2011-03-11",33,33.48,32.45,32.73,91319466
"MRK","2011-03-18",32.5,32.6,31.06,31.91,86394177
"MRK","2011-03-25",32.09,32.9,32.04,32.57,66135182
"MRK","2011-04-01",32.54,33.48,32.39,33.07,60348951
"MRK","2011-04-08",33.34,33.7,33.01,33.67,64799122
"MRK","2011-04-15",33.68,34.97,33.27,34.51,85533686
"MRK","2011-04-21",34.2,34.29,33.51,34.04,47226349
"MRK","2011-04-29",33.7,36.25,33.63,35.95,83960030
"MRK","2011-05-06",36.44,36.75,35.95,36.39,82810421
"MRK","2011-05-13",36.11,37.3,36.1,37.08,59693542
"MRK","2011-05-20",37.06,37.65,36.69,37.06,74833386
"MRK","2011-05-27",36.67,37.04,36.1,36.21,52416661
"MRK","2011-06-03",36.39,36.76,35.76,35.82,46564832
"MRK","2011-06-10",35.7,36.38,35.36,35.45,57259558
"MRK","2011-06-17",35.03,35.88,34.99,35.39,57933495
"MRK","2011-06-24",35.29,35.97,34.5,34.55,63163236
