"stock","date","open","high","low","close","volume"
"MSFT","2011-01-07",28.05,28.85,27.77,28.6,328646154
"MSFT","2011-01-14",28.2,28.5,28,28.3,227601331
"MSFT","2011-01-21",28.16,28.74,28.02,28.02,220040646
"MSFT","2011-01-28",28.02,29.46,27.45,27.75,457318851
"MSFT","2011-02-04",27.77,28.11,27.42,27.77,274432773
"MSFT","2011-02-11",27.8,28.34,27.07,27.25,317408348
"MSFT","2011-02-18",27.2,27.37,26.6,27.06,228916129
"MSFT","2011-02-25",26.78,27.1,26.43,26.55,238628349
"MSFT","2011-03-04",26.69,26.86,25.8,25.95,298801508
"MSFT","2011-03-11",26.13,26.27,25.35,25.68,271799244
"MSFT","2011-03-18",25.49,25.76,24.68,24.8,379216242
"MSFT","2011-03-25",25.18,25.95,25.15,25.62,217545216
"MSFT","2011-04-01",25.66,25.72,25.3,25.48,258143967
"MSFT","2011-04-08",25.45,26.31,25.41,26.07,260749872
"MSFT","2011-04-15",26.19,26.25,25.09,25.37,229693684
"MSFT","2011-04-21",25.1,26,24.72,25.52,158547201
"MSFT","2011-04-29",25.56,26.87,25.34,25.92,554889924
"MSFT","2011-05-06",25.94,26.25,25.48,25.87,346656165
"MSFT","2011-05-13",25.8,25.96,24.95,25.03,382293426
"MSFT","2011-05-20",24.96,25.07,24.25,24.49,311462943
"MSFT","2011-05-27",24.21,25.03,24.03,24.76,213316051
"MSFT","2011-06-03",24.96,25.1,23.84,23.9,246418070
"MSFT","2011-06-10",23.9,24.25,23.69,23.7,230307366
"MSFT","2011-06-17",23.79,29.05,23.65,24.26,280430166
"MSFT","2011-06-24",24.17,24.86,24.16,24.3,309206180
