"stock","date","open","high","low","close","volume"
"PFE","2011-01-07",17.7,18.38,17.62,18.34,386804789
"PFE","2011-01-14",18.22,18.48,18.13,18.34,218359623
"PFE","2011-01-21",18.35,18.49,18.02,18.36,159663706
"PFE","2011-01-28",18.33,18.76,18.14,18.15,277157388
"PFE","2011-02-04",18.19,19.39,18.16,19.3,358819619
"PFE","2011-02-11",19.27,19.3,18.62,18.83,180912039
"PFE","2011-02-18",18.82,19.39,18.72,19.19,153153528
"PFE","2011-02-25",18.88,19.13,18.67,18.86,177077740
"PFE","2011-03-04",18.95,19.9,18.9,19.66,257979737
"PFE","2011-03-11",19.64,19.75,19.3,19.47,195391037
"PFE","2011-03-18",19.45,20.29,19.15,20.18,457640533
"PFE","2011-03-25",20.32,20.5,19.74,20.35,215914627
"PFE","2011-04-01",20.42,20.57,20.11,20.38,170424399
"PFE","2011-04-08",20.55,20.61,20.15,20.46,199157969
"PFE","2011-04-15",20.55,20.75,20.33,20.53,209481824
"PFE","2011-04-21",20.32,20.88,19.79,19.79,143338656
"PFE","2011-04-29",19.95,21.06,19.9,20.97,205782608
"PFE","2011-05-06",21.14,21.2,20.07,20.55,273973053
"PFE","2011-05-13",20.53,20.99,20.45,20.92,180162306
"PFE","2011-05-20",20.84,21.28,20.68,20.69,249113161
"PFE","2011-05-27",20.49,20.98,20.35,20.93,162550095
"PFE","2011-06-03",21,21.45,20.66,20.84,169014117
"PFE","2011-06-10",20.82,20.97,20.04,20.11,196181321
"PFE","2011-06-17",20.08,20.73,20.03,20.26,229372501
"PFE","2011-06-24",20.09,20.96,20.08,20.08,259247639
