"stock","date","open","high","low","close","volume"
"PG","2011-01-07",64.39,65.08,64,64.5,52323352
"PG","2011-01-14",64.4,65.53,63.4,65.53,41932473
"PG","2011-01-21",65.65,65.95,65.05,65.91,46213962
"PG","2011-01-28",65.9,66.95,63.14,64.2,70042160
"PG","2011-02-04",64.35,64.36,62.3,63.61,57201539
"PG","2011-02-11",63.95,64.97,63.8,64.73,51999812
"PG","2011-02-18",64.8,64.8,63.4,64.3,36098973
"PG","2011-02-25",63.73,64.4,62.53,62.84,47748854
"PG","2011-03-04",62.8,63.65,61.56,62.03,59801160
"PG","2011-03-11",62,62.3,61.12,61.49,52731797
"PG","2011-03-18",61.04,61.39,59.7,60.6,66311521
"PG","2011-03-25",60.96,61.52,60.54,60.88,41351155
"PG","2011-04-01",61.08,62.3,60.61,62.08,43453701
"PG","2011-04-08",62.17,62.33,61.47,61.9,38792072
"PG","2011-04-15",62.02,64.21,61.9,64.18,51918017
"PG","2011-04-21",63.67,64.34,63.27,63.27,29487333
"PG","2011-04-29",63.08,65.1,62.6,64.9,53544624
"PG","2011-05-06",65.24,66.5,64.9,65.27,55046479
"PG","2011-05-13",64.93,67.31,64.86,66.86,49677302
"PG","2011-05-20",66.66,67.72,66.51,67.36,47738539
"PG","2011-05-27",66.8,67.2,65.7,66.2,37114265
"PG","2011-06-03",66.33,67,56.57,65.43,37312488
"PG","2011-06-10",65.36,65.64,64.65,64.7,48599369
"PG","2011-06-17",64.65,65.22,63.33,64.69,46861128
"PG","2011-06-24",64.51,65.29,62.44,62.59,53025186
