"stock","date","open","high","low","close","volume"
"T",2011-01-07,29.68,30.1,28.66,28.85,157834347
"T",2011-01-14,28.54,28.61,27.71,28.43,170616350
"T",2011-01-21,28.55,28.59,28.15,28.33,130584257
"T",2011-01-28,28.46,28.95,27.41,27.49,171464186
"T",2011-02-04,27.42,28.06,27.2,27.97,118469916
"T",2011-02-11,27.97,28.59,27.63,28.47,128889979
"T",2011-02-18,28.4,28.57,28,28.57,88244232
"T",2011-02-25,28.32,28.42,27.61,28.13,94960503
"T",2011-03-04,28.25,28.53,27.79,27.92,118740085
"T",2011-03-11,27.95,28.89,27.73,28.46,139153253
"T",2011-03-18,28.32,28.42,27.27,27.94,153806769
"T",2011-03-25,28.77,29.1,27.95,28.85,169105318
"T",2011-04-01,29.02,30.97,28.9,30.62,384284485
"T",2011-04-08,30.74,31,29.99,30.71,148206324
"T",2011-04-15,30.75,30.84,30.01,30.65,108080405
"T",2011-04-21,30.42,30.68,29.91,30.68,76563904
"T",2011-04-29,30.67,31.82,30.43,31.12,112339712
"T",2011-05-06,31.6,31.94,31.03,31.26,156030184
"T",2011-05-13,31.2,31.79,31.05,31.41,92523592
"T",2011-05-20,31.32,31.77,30.9,31.32,102539987
"T",2011-05-27,31,31.3,30.92,31.29,73854767
"T",2011-06-03,31.48,31.65,30.52,30.65,85085937
"T",2011-06-10,30.55,30.61,30.11,30.34,95255686
"T",2011-06-17,30.28,30.95,30.17,30.77,114504788
"T",2011-06-24,30.66,31.33,30.29,30.44,116043866
