"stock","date","open","high","low","close","volume"
"TRV","2011-01-07",56.09,56.34,52.88,53.33,20010115
"TRV","2011-01-14",53.12,54.84,52.96,54.63,14820631
"TRV","2011-01-21",54.62,55.24,54.07,55,13631048
"TRV","2011-01-28",55.14,57.78,54.97,55.81,26595621
"TRV","2011-02-04",55.81,57.52,55.81,57.41,27494461
"TRV","2011-02-11",57.32,59.12,56.97,58.99,19539527
"TRV","2011-02-18",58.84,60.92,58.53,60.92,14107769
"TRV","2011-02-25",60.6,61.15,59.05,59.6,20849299
"TRV","2011-03-04",59.6,60.02,58.53,59.18,20284170
"TRV","2011-03-11",59.26,59.72,57.88,58.88,15980871
"TRV","2011-03-18",58.47,59.51,57.51,58.06,24832210
"TRV","2011-03-25",58.44,59.28,57.99,58.98,14126721
"TRV","2011-04-01",59.09,60.01,58.37,59.71,16608737
"TRV","2011-04-08",59.83,60,59.11,59.58,12307164
"TRV","2011-04-15",59.85,60.85,59,59.8,15459751
"TRV","2011-04-21",59.32,61.32,58.07,61.32,10135730
"TRV","2011-04-29",61.32,63.37,60.91,63.28,16046782
"TRV","2011-05-06",63.56,64.17,62.85,63.43,14335889
"TRV","2011-05-13",63.23,64.09,62.18,62.33,14388418
"TRV","2011-05-20",62.52,63.11,62.13,62.25,11795580
"TRV","2011-05-27",61.74,62,60.36,61.52,12344531
"TRV","2011-06-03",61.95,62.25,60.59,61.18,13535632
"TRV","2011-06-10",61.35,61.68,58.71,59.21,18091902
"TRV","2011-06-17",59.12,59.32,57.36,57.92,20647583
"TRV","2011-06-24",57.57,58.28,56.12,56.68,20959450
