"stock","date","open","high","low","close","volume"
"UTX","2011-01-07",79.19,79.75,78.4,79.08,15797841
"UTX","2011-01-14",78.27,79.9,77.81,79.08,12713121
"UTX","2011-01-21",79.28,80.5,78.98,80.2,16471934
"UTX","2011-01-28",80.26,83.08,80.26,81.43,23565688
"UTX","2011-02-04",81.8,82.6,80.66,82.52,15689029
"UTX","2011-02-11",82.85,85.46,82.73,85.2,16641148
"UTX","2011-02-18",85.07,85.44,84.25,85.01,11922670
"UTX","2011-02-25",84.54,84.69,81.81,83.37,15551183
"UTX","2011-03-04",83.58,84.24,81.42,82.86,19167224
"UTX","2011-03-11",83.03,84.05,80.26,81.28,22004496
"UTX","2011-03-18",80.74,81.23,77.05,80.16,26234929
"UTX","2011-03-25",81.3,83.59,80.57,83.52,19032729
"UTX","2011-04-01",83.75,85.95,83.26,85.32,16314122
"UTX","2011-04-08",85.66,86,84.18,84.81,11690792
"UTX","2011-04-15",85,85.56,82.7,83.45,17017620
"UTX","2011-04-21",82.6,87.1,81.1,87.1,16859647
"UTX","2011-04-29",87,89.8,86.29,89.58,20800024
"UTX","2011-05-06",90.03,90.67,85.8,89.21,21797524
"UTX","2011-05-13",88.88,90.18,88.35,88.98,17420630
"UTX","2011-05-20",88.46,89.25,86.65,87.5,22021867
"UTX","2011-05-27",86.41,86.72,85.21,86.33,15097865
"UTX","2011-06-03",87,87.79,82.43,83.24,21179642
"UTX","2011-06-10",82.93,84.52,82.6,82.7,20109892
"UTX","2011-06-17",82.92,85.26,82.52,84.57,22074891
"UTX","2011-06-24",84.36,86.21,83.69,84.33,20775217
