"stock","date","open","high","low","close","volume"
"VZ","2011-01-07",36.06,37.7,35.41,35.93,141938064
"VZ","2011-01-14",36.55,36.58,34.98,35.46,130610954
"VZ","2011-01-21",35.38,35.51,34.35,34.95,108296302
"VZ","2011-01-28",34.88,36.59,34.88,35.63,124127036
"VZ","2011-02-04",35.64,36.48,35.38,36.31,72890565
"VZ","2011-02-11",36.3,36.77,35.77,36.39,78429505
"VZ","2011-02-18",36.31,36.62,35.66,36.62,68915874
"VZ","2011-02-25",36.24,36.32,35.34,35.97,57673647
"VZ","2011-03-04",36.06,36.94,35.85,36.08,80086312
"VZ","2011-03-11",36.13,36.65,35.65,35.85,66137992
"VZ","2011-03-18",35.74,35.84,33.36,35.84,124202175
"VZ","2011-03-25",36.66,37.32,36.37,37.29,79604168
"VZ","2011-04-01",37.44,38.95,37.42,38.47,96766651
"VZ","2011-04-08",38.53,38.7,37.26,37.72,62429599
"VZ","2011-04-15",37.75,38,37.34,37.85,55355691
"VZ","2011-04-21",37.6,38,36.91,36.91,37735134
"VZ","2011-04-29",37.07,38.42,36.82,37.78,68330713
"VZ","2011-05-06",38.33,38.33,36.9,37.28,84281362
"VZ","2011-05-13",37.28,37.68,36.95,37.26,50917728
"VZ","2011-05-20",37.26,37.41,36.8,37.15,53263954
"VZ","2011-05-27",36.75,37.03,36.24,36.67,43400125
"VZ","2011-06-03",36.91,36.99,35.6,35.63,50174214
"VZ","2011-06-10",35.57,36.14,35.16,35.19,72100710
"VZ","2011-06-17",35.23,35.92,34.94,35.51,69585912
"VZ","2011-06-24",35.35,36.17,35.2,36,82375230
