"stock","date","open","high","low","close","volume"
"WMT","2011-01-07",54.23,55.07,53.76,54.08,64231179
"WMT","2011-01-14",53.65,55.36,53.54,54.81,48929455
"WMT","2011-01-21",55.11,56.27,54.71,55.73,53009787
"WMT","2011-01-28",55.39,57.9,55.3,56.7,69546259
"WMT","2011-02-04",56.45,56.58,55.39,56.03,60981950
"WMT","2011-02-11",56.07,56.73,55.3,55.69,49477410
"WMT","2011-02-18",55.26,55.38,54.35,55.38,51556658
"WMT","2011-02-25",53.81,54.01,51.52,51.75,92696912
"WMT","2011-03-04",51.75,52.6,51.68,52.07,74964203
"WMT","2011-03-11",52.26,53.88,51.75,52.59,69185186
"WMT","2011-03-18",52.35,52.52,50.97,51.52,63198175
"WMT","2011-03-25",51.73,52.95,51.38,52.35,53385178
"WMT","2011-04-01",52.31,52.74,51.89,52.13,44519431
"WMT","2011-04-08",52.31,53.24,52.06,52.54,48382262
"WMT","2011-04-15",52.54,53.96,52.4,53.55,45662991
"WMT","2011-04-21",53.08,53.95,52.91,53.58,23073491
"WMT","2011-04-29",53.6,55.16,53.23,54.98,47159044
"WMT","2011-05-06",55.08,55.79,53.2,55.02,46668727
"WMT","2011-05-13",54.97,56.03,54.7,55.72,42649301
"WMT","2011-05-20",55.61,56.47,54.95,55.29,56695842
"WMT","2011-05-27",54.9,55.5,54.1,54.7,35560853
"WMT","2011-06-03",54.88,55.22,53.04,53.66,48156051
"WMT","2011-06-10",53.86,54.3,52.69,52.72,58746396
"WMT","2011-06-17",52.91,53.29,51.79,52.82,68996550
"WMT","2011-06-24",52.7,53.7,52.35,52.41,75602550
