"stock","date","open","high","low","close","volume"
"XOM","2011-01-07",73.72,75.9,73.64,75.59,101740933
"XOM","2011-01-14",75.13,77.84,74.58,77.84,74376886
"XOM","2011-01-21",77.79,79.1,76.77,78.98,99941187
"XOM","2011-01-28",78.85,79.98,77.93,78.99,115376817
"XOM","2011-02-04",79.92,83.98,79.01,83.28,129743696
"XOM","2011-02-11",83.45,84,81.61,82.82,85733429
"XOM","2011-02-18",82,85.1,81.8,84.5,93325562
"XOM","2011-02-25",84.97,88.23,84.73,85.34,122018405
"XOM","2011-03-04",85.87,86.56,83.55,85.08,102134160
"XOM","2011-03-11",85.84,86.08,80.1,82.12,92727886
"XOM","2011-03-18",81.67,82.64,78.8,80.85,123914255
"XOM","2011-03-25",81.87,83.93,81.86,83.62,83364516
"XOM","2011-04-01",83.86,84.94,82.61,84.68,77569311
"XOM","2011-04-08",84.26,86.22,84.07,85.95,75566590
"XOM","2011-04-15",85.95,86.15,82.38,84.29,81056144
"XOM","2011-04-21",83.11,86.36,82.44,86.36,43378708
"XOM","2011-04-29",86.29,88,85.89,87.98,81596868
"XOM","2011-05-06",88.1,88.13,81.59,82.69,113805856
"XOM","2011-05-13",83.01,83.76,79.42,80.87,99678100
"XOM","2011-05-20",80.22,82.58,79.6,81.57,86758820
"XOM","2011-05-27",80.22,82.63,80.07,82.63,68230855
"XOM","2011-06-03",83.28,83.75,80.18,81.18,78616295
"XOM","2011-06-10",80.93,81.87,79.72,79.78,92380844
"XOM","2011-06-17",80,80.82,78.33,79.02,100521400
"XOM","2011-06-24",78.65,81.12,76.78,76.78,118679791
