"Stock","Beta","R_Squared"
"KRFT",0.189992009734549,0.0236642964771011
"PG",0.485501476832415,0.154373743533905
"MRK",0.541530408120274,0.0861506560012698
"BAC",0.652758443999101,0.0789447064861407
"CSCO",0.654120496472428,0.057639359943486
"KO",0.681135572670632,0.362154772114601
"WMT",0.686019688813306,0.271555697271975
"MSFT",0.714780068338834,0.306105156455127
"PFE",0.723716618440989,0.160529217580535
"MCD",0.744558584468642,0.311397439030836
"JNJ",0.760056771341827,0.279454330777498
"VZ",0.761188091764567,0.377244706265365
"CVX",0.84341796455631,0.245674018314518
"JPM",0.867877346630604,0.309001202171159
"IBM",0.922578002000582,0.53982094213736
"HD",0.987066804639631,0.369731252559611
"TRV",1.00045845191376,0.553878800668219
"AXP",1.0899636757113,0.299008641387239
"DD",1.12895337132359,0.371721859526959
"XOM",1.19741888227074,0.462576638232094
"UTX",1.19991093738528,0.685710375537885
"MMM",1.23918160104564,0.7425637197742
"INTC",1.25243334020475,0.314815793492677
"AA",1.30344220596029,0.295409727444059
"GE",1.35520331516087,0.579782686571776
"HPQ",1.42571913471457,0.274544959639092
"DIS",1.48814196508586,0.607610438400994
"CAT",1.49303051674383,0.4146048636278
"BA",1.62564082391144,0.728455355838645
