"Stock","Beta","R_Squared","Dow_Beta","Expected_Return"
"KRFT",0.189992009734549,0.0236642964771011,1,0.0394996004867274
"PG",0.485501476832415,0.154373743533905,1,0.0542750738416208
"MRK",0.541530408120274,0.0861506560012698,1,0.0570765204060137
"BAC",0.652758443999101,0.0789447064861407,1,0.062637922199955
"CSCO",0.654120496472428,0.057639359943486,1,0.0627060248236214
"KO",0.681135572670632,0.362154772114601,1,0.0640567786335316
"WMT",0.686019688813306,0.271555697271975,1,0.0643009844406653
"MSFT",0.714780068338834,0.306105156455127,1,0.0657390034169417
"PFE",0.723716618440989,0.160529217580535,1,0.0661858309220495
"MCD",0.744558584468642,0.311397439030836,1,0.0672279292234321
"JNJ",0.760056771341827,0.279454330777498,1,0.0680028385670914
"VZ",0.761188091764567,0.377244706265365,1,0.0680594045882284
"CVX",0.84341796455631,0.245674018314518,1,0.0721708982278155
"JPM",0.867877346630604,0.309001202171159,1,0.0733938673315302
"IBM",0.922578002000582,0.53982094213736,1,0.0761289001000291
"HD",0.987066804639631,0.369731252559611,1,0.0793533402319816
"TRV",1.00045845191376,0.553878800668219,1,0.0800229225956879
"AXP",1.0899636757113,0.299008641387239,1,0.084498183785565
"DD",1.12895337132359,0.371721859526959,1,0.0864476685661796
"XOM",1.19741888227074,0.462576638232094,1,0.0898709441135369
"UTX",1.19991093738528,0.685710375537885,1,0.0899955468692639
"MMM",1.23918160104564,0.7425637197742,1,0.0919590800522821
"INTC",1.25243334020475,0.314815793492677,1,0.0926216670102376
"AA",1.30344220596029,0.295409727444059,1,0.0951721102980143
"GE",1.35520331516087,0.579782686571776,1,0.0977601657580434
"HPQ",1.42571913471457,0.274544959639092,1,0.101285956735729
"DIS",1.48814196508586,0.607610438400994,1,0.104407098254293
"CAT",1.49303051674383,0.4146048636278,1,0.104651525837192
"BA",1.62564082391144,0.728455355838645,1,0.111282041195572
