"","Attrition_Flag","Gender","Dependent_count","Education_Level","Marital_Status","Income_Category","Card_Category","Total_Relationship_Count","Months_Inactive_12_mon","Contacts_Count_12_mon","Credit_Limit","Total_Revolving_Bal","Total_Amt_Chng_Q4_Q1","Total_Trans_Amt","Total_Trans_Ct","Total_Ct_Chng_Q4_Q1","Avg_Utilization_Ratio"
"1","Existing Customer","M",3,"High School","Married","$60K - $80K","Blue",5,1,3,12691,777,1.335,1144,42,1.625,0.061
"2","Existing Customer","F",5,"Graduate","Single","Less than $40K","Blue",6,1,2,8256,864,1.541,1291,33,3.714,0.105
"3","Existing Customer","M",3,"Graduate","Married","$80K - $120K","Blue",4,1,0,3418,0,2.594,1887,20,2.333,0
"4","Existing Customer","F",4,"High School","Unknown","Less than $40K","Blue",3,4,1,3313,2517,1.405,1171,20,2.333,0.76
"5","Existing Customer","M",3,"Uneducated","Married","$60K - $80K","Blue",5,1,0,4716,0,2.175,816,28,2.5,0
"6","Existing Customer","M",2,"Graduate","Married","$40K - $60K","Blue",3,1,2,4010,1247,1.376,1088,24,0.846,0.311
"7","Existing Customer","M",4,"Unknown","Married","$120K +","Gold",6,1,3,34516,2264,1.975,1330,31,0.722,0.066
"8","Existing Customer","M",0,"High School","Unknown","$60K - $80K","Silver",2,2,2,29081,1396,2.204,1538,36,0.714,0.048
"9","Existing Customer","M",3,"Uneducated","Single","$60K - $80K","Blue",5,2,0,22352,2517,3.355,1350,24,1.182,0.113
"10","Existing Customer","M",2,"Graduate","Single","$80K - $120K","Blue",6,3,3,11656,1677,1.524,1441,32,0.882,0.144
"11","Existing Customer","M",5,"Uneducated","Unknown","$120K +","Blue",5,3,2,6748,1467,0.831,1201,42,0.68,0.217
"12","Existing Customer","M",1,"Unknown","Married","$40K - $60K","Blue",6,2,3,9095,1587,1.433,1314,26,1.364,0.174
"13","Existing Customer","M",1,"College","Single","$80K - $120K","Blue",3,6,0,11751,0,3.397,1539,17,3.25,0
"14","Existing Customer","M",3,"Graduate","Unknown","$60K - $80K","Blue",5,1,3,8547,1666,1.163,1311,33,2,0.195
"15","Existing Customer","F",2,"Graduate","Married","Less than $40K","Blue",5,2,2,2436,680,1.19,1570,29,0.611,0.279
"16","Existing Customer","M",4,"Unknown","Unknown","$80K - $120K","Blue",5,1,2,4234,972,1.707,1348,27,1.7,0.23
"17","Existing Customer","M",4,"Post-Graduate","Single","$80K - $120K","Blue",6,2,3,30367,2362,1.708,1671,27,0.929,0.078
"18","Existing Customer","M",3,"Unknown","Married","$80K - $120K","Blue",4,4,1,13535,1291,0.653,1028,21,1.625,0.095
"19","Existing Customer","M",1,"High School","Married","$40K - $60K","Blue",2,2,3,3193,2517,1.831,1336,30,1.143,0.788
"20","Existing Customer","F",2,"Graduate","Married","Unknown","Blue",6,1,2,14470,1157,0.966,1207,21,0.909,0.08
"21","Existing Customer","M",1,"Doctorate","Divorced","$60K - $80K","Blue",5,2,0,20979,1800,0.906,1178,27,0.929,0.086
"22","Attrited Customer","F",0,"Graduate","Married","Less than $40K","Blue",2,3,3,1438.3,0,1.047,692,16,0.6,0
"23","Existing Customer","M",3,"High School","Married","$40K - $60K","Blue",4,2,1,4470,680,1.608,931,18,1.571,0.152
"24","Existing Customer","F",4,"Unknown","Single","Less than $40K","Blue",3,3,2,2492,1560,0.573,1126,23,0.353,0.626
"25","Existing Customer","M",2,"Unknown","Married","$80K - $120K","Blue",4,2,3,12217,0,1.075,1110,21,0.75,0
"26","Existing Customer","F",3,"Graduate","Single","Less than $40K","Blue",6,1,2,7768,1669,0.797,1051,22,0.833,0.215
"27","Existing Customer","M",1,"High School","Unknown","$40K - $60K","Blue",4,1,2,14784,1374,0.921,1197,23,1.3,0.093
