Date,"Cumulative
Cases","Cumulative
Fatalities","Daily
New
Cases","Fatalities
by Date
of Death"
3/4/20,0,0,0,0
3/5/20,0,0,0,0
3/6/20,5,0,5,0
3/7/20,5,0,0,0
3/8/20,5,0,0,0
3/9/20,12,0,7,0
3/10/20,15,0,3,0
3/11/20,18,0,3,0
3/12/20,22,0,4,0
3/13/20,22,0,0,0
3/14/20,22,0,0,0
3/15/20,56,1,34,1
3/16/20,56,2,0,1
3/17/20,63,4,7,2
3/18/20,82,6,19,2
3/19/20,108,6,26,0
3/20/20,175,9,67,3
3/21/20,235,11,60,2
3/22/20,263,12,29,1
3/23/20,287,14,25,2
3/24/20,712,20,425,6
3/25/20,975,26,263,6
3/26/20,"1,394",37,419,11
3/27/20,"1,731",46,337,9
3/28/20,"2,048",58,317,12
3/29/20,"2,552",69,504,11
3/30/20,"2,874",89,322,20
3/31/20,"3,266",101,392,12
4/1/20,"3,996",122,730,21
4/2/20,"4,665",143,669,21
4/3/20,"5,324",163,659,20
4/4/20,"6,112",185,788,22
4/5/20,"6,793",223,681,38
4/6/20,"7,273",248,480,25
4/7/20,"8,261",264,988,16
4/8/20,"9,353",289,"1,092",25
4/9/20,"10,230",322,877,33
4/10/20,"11,671",351,"1,441",29
4/11/20,"12,561",386,890,35
4/12/20,"13,484",420,923,34
4/13/20,"13,906",451,422,31
4/14/20,"14,624",483,718,32
4/15/20,"15,492",519,868,36
4/16/20,"16,455",551,963,32
4/17/20,"17,371",589,916,38
4/18/20,"18,260",618,889,29
4/19/20,"18,923",646,663,28
4/20/20,"19,458",672,535,26
4/21/20,"20,196",713,738,41
4/22/20,"21,069",743,873,30
4/23/20,"21,944",778,875,35
4/24/20,"22,806",811,862,33
4/25/20,"23,773",848,967,37
4/26/20,"24,631",878,858,30
4/27/20,"25,297",903,666,25
4/28/20,"26,171",937,874,34
4/29/20,"27,054",960,883,23
4/30/20,"28,087",991,"1,033",31
5/1/20,"29,229","1,034","1,142",43
