period,stateid,stateDescription,sectorid,sectorName,customers,price,revenue,sales,customers-units,price-units,revenue-units,sales-units
2010-09,TX,Texas,RES,residential,9593771.0,11.58,1613.65551,13939.14518,number of customers,cents per kilowatthour,million dollars,million kilowatthours
2010-10,TX,Texas,RES,residential,9600717.0,11.62,1128.50661,9710.77341,number of customers,cents per kilowatthour,million dollars,million kilowatthours
2010-11,TX,Texas,RES,residential,9578689.0,11.32,863.22333,7623.61708,number of customers,cents per kilowatthour,million dollars,million kilowatthours
2010-12,TX,Texas,RES,residential,9538951.0,11.25,1115.5107,9920.10058,number of customers,cents per kilowatthour,million dollars,million kilowatthours
2011-01,TX,Texas,RES,residential,9537226.0,10.7,1293.33822,12088.46517,number of customers,cents per kilowatthour,million dollars,million kilowatthours
2011-02,TX,Texas,RES,residential,9517330.0,10.65,1233.67612,11584.00972,number of customers,cents per kilowatthour,million dollars,million kilowatthours
2011-03,TX,Texas,RES,residential,9587214.0,11.13,959.17126,8617.85188,number of customers,cents per kilowatthour,million dollars,million kilowatthours
2011-04,TX,Texas,RES,residential,9565314.0,11.16,968.08317,8670.98529,number of customers,cents per kilowatthour,million dollars,million kilowatthours
2011-05,TX,Texas,RES,residential,9611858.0,11.27,1151.5549,10221.16945,number of customers,cents per kilowatthour,million dollars,million kilowatthours
2011-06,TX,Texas,RES,residential,9643741.0,11.25,1667.1646,14819.56319,number of customers,cents per kilowatthour,million dollars,million kilowatthours
2011-07,TX,Texas,RES,residential,9632533.0,11.16,1929.48256,17285.91771,number of customers,cents per kilowatthour,million dollars,million kilowatthours
2011-08,TX,Texas,RES,residential,9709848.0,11.15,2075.53184,18620.65655,number of customers,cents per kilowatthour,million dollars,million kilowatthours
2011-09,TX,Texas,RES,residential,9683774.0,11.16,1684.89713,15104.07099,number of customers,cents per kilowatthour,million dollars,million kilowatthours
2011-10,TX,Texas,RES,residential,9673150.0,11.23,1156.2011,10291.5595,number of customers,cents per kilowatthour,million dollars,million kilowatthours
2011-11,TX,Texas,RES,residential,9635137.0,11.19,906.88064,8100.96037,number of customers,cents per kilowatthour,million dollars,million kilowatthours
2011-12,TX,Texas,RES,residential,9660630.0,10.89,1116.00125,10249.01821,number of customers,cents per kilowatthour,million dollars,million kilowatthours
2012-01,TX,Texas,RES,residential,9678756.0,10.77,1170.36209,10866.4021,number of customers,cents per kilowatthour,million dollars,million kilowatthours
2012-02,TX,Texas,RES,residential,9689796.0,11.05,1012.58001,9164.53118,number of customers,cents per kilowatthour,million dollars,million kilowatthours
2012-03,TX,Texas,RES,residential,9744217.0,11.01,944.7754,8584.69875,number of customers,cents per kilowatthour,million dollars,million kilowatthours
2012-04,TX,Texas,RES,residential,9767384.0,11.02,955.42841,8666.9289,number of customers,cents per kilowatthour,million dollars,million kilowatthours
2012-05,TX,Texas,RES,residential,9817846.0,10.84,1173.80139,10826.49089,number of customers,cents per kilowatthour,million dollars,million kilowatthours
2012-06,TX,Texas,RES,residential,9838845.0,10.97,1534.42223,13993.38328,number of customers,cents per kilowatthour,million dollars,million kilowatthours
2012-07,TX,Texas,RES,residential,9867734.0,10.87,1744.31103,16050.08613,number of customers,cents per kilowatthour,million dollars,million kilowatthours
2012-08,TX,Texas,RES,residential,9890825.0,10.96,1855.23108,16932.27557,number of customers,cents per kilowatthour,million dollars,million kilowatthours
2012-09,TX,Texas,RES,residential,9790348.0,11.11,1557.01651,14009.27496,number of customers,cents per kilowatthour,million dollars,million kilowatthours
