datetime,nat_demand,T2M_toc,QV2M_toc,TQL_toc,W2M_toc,T2M_san,QV2M_san,TQL_san,W2M_san,T2M_dav,QV2M_dav,TQL_dav,W2M_dav,school,No holiday,Martyrs Day,Carnival Saturday,Carnival Sunday,Carnival Monday,Carnival Tuesday,Ash Wednesday,Holy Thursday,Good Friday,Holy Saturday,Resurrection Sunday,Labor Day,Foundation of Old Panama,Separation of Panama from Colombia,Flag Day,Patriotic Commemoration in Colon city,First Cry of Independence,Independence of Panama from Spain,Mothers Day,Christmas Eve,Christmas,New Years Eve
2015-01-03,24593.1315,27.837319282863472,0.018599152391304347,0.006561090440724936,22.58999018645342,26.481001348080866,0.018191477391304348,0.010949176295652174,11.127838755655638,24.8125230872113,0.017020862826086957,0.08999899147826086,4.377434831398316,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-04,24194.9663,27.385723368326847,0.017987094958333335,0.003787969449692834,23.531261289036365,26.25030670166018,0.017810665166666666,0.013746360800000001,12.090789354291132,24.195293680826847,0.016846182583333334,0.10457483983333334,4.964403577783704,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-05,27520.3902,27.17447687784833,0.017905243375,0.013343964947333335,26.775680295419477,26.022784169514996,0.017341303833333332,0.016091406445833335,14.204462222715662,24.07877375284833,0.016195941125,0.09841410245833333,7.180469614841617,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-06,27441.4663,27.0035962422689,0.017390276916666666,0.010847330058333333,26.49170968407631,25.90952072143557,0.017175700333333332,0.015202204379166667,13.80475282565233,23.811538950602237,0.0160120586875,0.09699757879166666,6.958896657312817,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-07,27458.371600000002,26.67842000325523,0.017242032875,0.017465352929166667,23.896603644896118,25.205438232421898,0.016665059875,0.025091608316666666,13.041186461421367,23.243198649088566,0.015414792895833333,0.10412470483333335,6.9845135921659365,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-08,27302.0832,26.5619204203288,0.01703927108333333,0.03059991216666667,27.43864672756257,25.256581878662132,0.016532870083333335,0.04046821595833333,14.773117016798656,23.1839907328288,0.015437734041666666,0.11135101291666666,7.715065816773827,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-09,24004.1031,26.570793406168644,0.017004913041666667,0.030278841625,26.50954143642045,25.515454864501976,0.016387885895833332,0.029704252908333336,14.43582929542724,23.688957468668644,0.015478875229166666,0.09755770358333334,6.819538355778263,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-10,24588.9732,26.777115122477237,0.01753826291666667,0.021719614525,24.609548292618797,25.89853439331057,0.016970508875000002,0.022113799995833332,14.18761193109451,24.05576095581057,0.015880141125,0.10634358670833333,6.184879243773967,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-11,23604.234800000002,27.042852020263695,0.01826405533333333,0.019217014316666666,22.285459509453023,26.323776499430362,0.017515739,0.017811934225,12.465604137773049,24.681849416097027,0.016496261041666665,0.10062535629166668,4.969738659264871,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-12,28157.314599999998,27.3772649129232,0.01858702525,0.026066780229166666,18.436524828013642,26.340806579589866,0.01773507625,0.0241241453625,9.841923224012069,24.891262308756534,0.01663231075,0.09204673733333334,3.762651244066737,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-13,28256.369599999998,27.424685414632183,0.018205901166666667,0.023311297041666665,18.462232939631523,26.63692499796552,0.018102268333333334,0.056156158625,7.915006293419979,24.881716664632183,0.017035424625,0.13307698566666668,2.435704494949488,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-14,28731.9752,27.189028676350933,0.017828893916666668,0.013422270566666667,20.935417738280577,26.18544794718427,0.017333301208333332,0.03308868420833334,9.089157726520346,24.72451044718427,0.016342433625,0.11847623254166667,3.547405111605009,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-15,28218.168400000002,27.148185984293644,0.017836824125,0.019932290020833333,20.644432078577385,26.213290150960308,0.0173936835,0.07232411695833334,7.279525542513682,24.554435984293644,0.016389146666666667,0.10660680095833334,3.1266474016015793,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-16,28478.2401,26.928116099039737,0.017721720125,0.03267129258333334,21.585224903676874,26.439834849039737,0.01749411,0.07128397641666666,8.017866909523626,24.57297286987307,0.016330945125,0.15341949375,2.4520147435672963,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-17,24492.3694,26.62613957722984,0.017272067875,0.1316916135,22.257345798988908,25.37418645222984,0.016638192291666666,0.10972531658333333,9.095150342946631,23.682129160563175,0.014899167291666666,0.12435785945833333,4.685463413530318,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-18,21747.8779,26.635898844401066,0.016990347333333333,0.08091417979166667,21.994665201896723,25.569818115234398,0.016341212958333334,0.09859975141666666,9.86064291308803,23.45197957356773,0.014928185583333335,0.11627197241666666,4.22827686114932,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
