datetime,nat_demand
2015-01-03,24593.1315
2015-01-04,24194.9663
2015-01-05,27520.3902
2015-01-06,27441.4663
2015-01-07,27458.371600000002
2015-01-08,27302.0832
2015-01-09,24004.1031
2015-01-10,24588.9732
2015-01-11,23604.234800000002
2015-01-12,28157.314599999998
2015-01-13,28256.369599999998
2015-01-14,28731.9752
2015-01-15,28218.168400000002
2015-01-16,28478.2401
2015-01-17,24492.3694
2015-01-18,21747.8779
2015-01-19,26837.1436
2015-01-20,26158.622
2015-01-21,26966.586
2015-01-22,26507.1767
2015-01-23,26560.0088
2015-01-24,24022.9356
2015-01-25,22396.2457
2015-01-26,26932.13
2015-01-27,26645.1597
2015-01-28,27337.0385
2015-01-29,27243.4249
2015-01-30,27341.1894
2015-01-31,25360.9109
2015-02-01,23533.5722
2015-02-02,28369.967
2015-02-03,28214.2671
2015-02-04,28174.860699999997
2015-02-05,27742.2851
2015-02-06,27343.6967
2015-02-07,24534.3919
2015-02-08,22910.7161
2015-02-09,27305.0341
2015-02-10,26713.2584
2015-02-11,26610.7788
2015-02-12,26741.7043
2015-02-13,26884.0585
2015-02-14,24000.8208
2015-02-15,22211.5909
2015-02-16,22031.0691
2015-02-17,21332.9725
2015-02-18,24915.933
2015-02-19,26912.1088
2015-02-20,27469.549899999998
2015-02-21,24635.2158
2015-02-22,23200.7936
2015-02-23,27764.0268
2015-02-24,27576.839500000002
2015-02-25,27475.382700000002
2015-02-26,28076.6862
2015-02-27,28479.9372
2015-02-28,26298.1653
2015-03-01,24243.1449
2015-03-02,27730.1184
2015-03-03,27694.89
2015-03-04,27665.9899
2015-03-05,28493.8514
2015-03-06,29106.4872
2015-03-07,25996.3324
2015-03-08,23428.0065
2015-03-09,28397.7084
2015-03-10,28800.5991
2015-03-11,28930.6646
2015-03-12,29153.1369
2015-03-13,28640.2436
2015-03-14,25729.9075
2015-03-15,23634.497900000002
2015-03-16,28697.6583
2015-03-17,27693.5591
2015-03-18,27580.4366
2015-03-19,26940.896
2015-03-20,26950.3464
2015-03-21,24660.0702
2015-03-22,22427.9984
2015-03-23,27106.941
2015-03-24,27569.5895
2015-03-25,27530.5568
2015-03-26,27255.7467
2015-03-27,27862.8
2015-03-28,25817.5729
2015-03-29,23360.447
2015-03-30,27729.1716
2015-03-31,27631.2744
2015-04-01,27739.0055
2015-04-02,25519.269
2015-04-03,22088.8021
2015-04-04,23334.3603
2015-04-05,22780.373
2015-04-06,28075.785200000002
2015-04-07,28820.5018
2015-04-08,28741.1994
2015-04-09,28379.2818
2015-04-10,25346.1749
2015-04-11,25217.3263
2015-04-12,24074.7215
2015-04-13,28629.3024
2015-04-14,28296.903
2015-04-15,28397.1472
2015-04-16,28009.4449
2015-04-17,28058.9126
2015-04-18,26297.0779
2015-04-19,24477.031
2015-04-20,28472.9491
2015-04-21,28549.8828
2015-04-22,28895.2954
2015-04-23,28888.740999999998
2015-04-24,28382.6741
2015-04-25,26135.8485
2015-04-26,24099.8766
2015-04-27,29178.1549
2015-04-28,29433.765
2015-04-29,28896.6273
2015-04-30,27799.1748
2015-05-01,23542.4018
2015-05-02,24925.8557
2015-05-03,23615.2928
2015-05-04,27699.8615
2015-05-05,28680.7538
2015-05-06,29031.719
2015-05-07,29144.3548
2015-05-08,29419.5414
2015-05-09,26992.409499999998
2015-05-10,24968.7194
2015-05-11,29689.6488
2015-05-12,30084.9725
2015-05-13,30015.3244
2015-05-14,29655.5989
2015-05-15,29072.631699999998
2015-05-16,25792.5783
2015-05-17,23305.9381
2015-05-18,28216.9131
2015-05-19,29444.333
2015-05-20,28705.4154
2015-05-21,27719.5135
2015-05-22,28091.2758
2015-05-23,26962.1456
2015-05-24,24616.9667
2015-05-25,27476.8859
2015-05-26,28789.683699999998
2015-05-27,29115.6045
2015-05-28,27607.2792
2015-05-29,29384.1532
2015-05-30,25953.2205
2015-05-31,23847.137600000002
2015-06-01,25490.0382
2015-06-02,29412.3267
2015-06-03,28925.6645
2015-06-04,28222.1682
2015-06-05,26089.6728
2015-06-06,24743.4852
2015-06-07,22752.1563
2015-06-08,26169.5545
2015-06-09,26736.6819
2015-06-10,26708.9958
2015-06-11,27659.903299999998
2015-06-12,28409.0234
2015-06-13,26904.329400000002
2015-06-14,24744.6658
2015-06-15,29092.803
2015-06-16,29759.0148
2015-06-17,30113.0536
2015-06-18,30826.3002
2015-06-19,29361.6008
2015-06-20,28061.3623
2015-06-21,25512.9258
2015-06-22,29689.1562
2015-06-23,30474.480199999998
2015-06-24,30394.9453
2015-06-25,31353.0753
2015-06-26,30927.2299
2015-06-27,29091.1758
2015-06-28,26222.5841
2015-06-29,28687.4697
2015-06-30,28997.3798
2015-07-01,29686.624
2015-07-02,30265.3671
2015-07-03,30549.647
2015-07-04,27648.7872
