Method,variety,Group,Yield
A                       ,1,1,22.1
A                       ,1,2,24.1
A                       ,1,3,19.1
A                       ,1,1,22.1
A                       ,1,2,25.1
A                       ,1,3,18.1
A                       ,2,1,29.1
A                       ,2,2,17.1
A                       ,2,3,21.6
A                       ,2,1,28.6
A                       ,2,2,17.1
A                       ,2,3,26.6
A                       ,3,1,25.3
A                       ,3,2,25.8
A                       ,3,3,22.8
A                       ,3,1,28.3
A                       ,3,2,21.3
A                       ,3,3,18.3
A                       ,4,1,19.8
A                       ,4,2,28.3
A                       ,4,3,26.8
A                       ,4,1,27.3
A                       ,4,2,26.8
A                       ,4,3,26.8
A                       ,5,1,18
A                       ,5,2,15
A                       ,5,3,22
A                       ,5,1,20.5
A                       ,5,2,26
A                       ,5,3,20.5
B                       ,1,1,13.5
B                       ,1,2,14.5
B                       ,1,3,11.5
B                       ,1,1,6
B                       ,1,2,27
B                       ,1,3,18
B                       ,2,1,18.9
B                       ,2,2,19.4
B                       ,2,3,12.4
B                       ,2,1,21.4
B                       ,2,2,15.9
B                       ,2,3,17.4
B                       ,3,1,16.7
B                       ,3,2,10.2
B                       ,3,3,16.7
B                       ,3,1,19.7
B                       ,3,2,18.2
B                       ,3,3,12.2
B                       ,4,1,15.1
B                       ,4,2,6.5
B                       ,4,3,17.1
B                       ,4,1,7.6
B                       ,4,2,13.6
B                       ,4,3,21.1
B                       ,5,1,19.8
B                       ,5,2,20.8
B                       ,5,3,16.8
B                       ,5,1,19.3
B                       ,5,2,14.3
B                       ,5,3,12.3
C                       ,1,1,19
C                       ,1,2,22
C                       ,1,3,20
C                       ,1,1,14.5
C                       ,1,2,19
C                       ,1,3,16
C                       ,2,1,22
C                       ,2,2,24
C                       ,2,3,27.5
C                       ,2,1,18.5
C                       ,2,2,20
C                       ,2,3,19.5
C                       ,3,1,16.4
C                       ,3,2,14.4
C                       ,3,3,21.4
C                       ,3,1,19.9
C                       ,3,2,12.4
C                       ,3,3,21.4
C                       ,4,1,24.5
C                       ,4,2,16
C                       ,4,3,11
C                       ,4,1,7.5
C                       ,4,2,14.5
C                       ,4,3,15.5
C                       ,5,1,10.8
C                       ,5,2,12.3
C                       ,5,3,18.3
C                       ,5,1,6.3
C                       ,5,2,5.8
C                       ,5,3,10.8
