type,origin,cylinders,mpg_highway
Sedan,Asia,4,31
Sedan,Asia,4,29
Sedan,Asia,6,28
Sedan,Asia,6,24
Sedan,Asia,6,24
Sports,Asia,6,24
Sedan,USA,6,30
Sedan,USA,6,29
Sedan,USA,6,30
Sedan,USA,6,28
Sedan,USA,6,29
Sedan,USA,6,29
Sedan,USA,6,28
Sedan,USA,6,25
Sedan,USA,4,34
Sedan,USA,4,34
Sedan,USA,4,37
Sedan,USA,4,37
Sedan,USA,4,37
Sedan,USA,6,32
Sedan,USA,4,34
Sedan,USA,6,30
Sedan,USA,6,32
Sedan,USA,6,30
Sedan,USA,6,28
Sedan,USA,6,32
Sedan,USA,6,28
Sedan,USA,6,17
Sedan,USA,6,26
Sedan,USA,4,29
Sedan,USA,4,29
Sedan,USA,4,30
Sedan,USA,6,28
Sedan,USA,6,27
Sedan,USA,6,29
Sedan,USA,6,27
Sedan,USA,4,27
Sedan,USA,4,30
Sedan,USA,6,27
Sedan,USA,6,28
Sedan,USA,6,26
Sedan,USA,6,25
Sports,USA,6,25
Sedan,USA,4,36
Sedan,USA,4,36
Sedan,USA,6,29
Sedan,USA,4,28
Sedan,USA,4,28
Sedan,USA,6,27
Sedan,USA,4,26
Sedan,USA,6,25
Sedan,USA,4,33
Sedan,USA,4,36
Sedan,USA,4,33
Sedan,USA,4,33
Sedan,USA,4,28
Sedan,USA,6,27
Sedan,USA,6,26
Sedan,USA,6,23
Sports,USA,6,29
Sedan,USA,6,20
Sedan,Asia,4,38
Sedan,Asia,4,44
Sedan,Asia,4,38
Sedan,Asia,4,34
Sedan,Asia,4,34
Sedan,Asia,4,37
Sedan,Asia,4,30
Sedan,Asia,6,30
Sedan,Asia,6,30
Sedan,Asia,6,25
Sedan,Asia,6,25
Sports,Asia,4,25
Sedan,Asia,4,33
Sedan,Asia,4,33
Sedan,Asia,4,33
Sedan,Asia,4,34
Sedan,Asia,4,34
Sedan,Asia,4,34
Sedan,Asia,6,27
Sedan,Asia,6,27
Sedan,Asia,6,26
Sedan,Asia,6,26
Sports,Asia,6,26
Sedan,Asia,6,26
Sedan,Asia,6,26
Sedan,Asia,6,26
Sedan,Asia,6,26
Sedan,Asia,4,30
Sedan,Asia,4,33
Sedan,Asia,4,32
Sedan,Asia,4,32
Sedan,Asia,4,32
Sedan,Asia,4,32
Sedan,Asia,6,27
Sedan,Asia,6,25
Sedan,Asia,6,22
Sedan,Asia,6,29
Sedan,Asia,6,25
Sedan,Asia,6,24
Sedan,Asia,6,25
Sedan,USA,6,26
Sedan,USA,6,26
Sedan,Asia,4,34
Sedan,Asia,4,31
Sedan,Asia,4,32
Sedan,Asia,6,25
Sports,Asia,4,28
Sports,Asia,4,28
Sedan,USA,6,27
Sedan,USA,6,26
Sedan,USA,6,23
Sedan,Asia,4,31
Sedan,Asia,4,31
Sedan,Asia,4,30
Sedan,Asia,4,31
Sedan,Asia,6,25
Sedan,Asia,6,26
Sports,Asia,6,28
Sports,Asia,6,28
Sports,Asia,4,26
Sedan,Asia,4,35
Sedan,Asia,4,35
Sedan,Asia,4,26
Sedan,Asia,4,28
Sedan,Asia,6,26
Sedan,Asia,6,28
Sedan,Asia,6,28
Sedan,Asia,6,26
Sedan,Asia,6,25
Sports,Asia,6,26
Sports,Asia,6,26
Sedan,USA,4,32
Sedan,USA,6,29
Sedan,USA,6,26
Sedan,USA,4,33
Sedan,USA,6,29
Sedan,USA,6,30
Sedan,USA,4,33
Sedan,USA,6,30
Sedan,USA,6,26
Sedan,USA,6,24
Sedan,USA,4,35
Sedan,USA,4,35
Sedan,USA,4,35
Sedan,USA,4,35
Sedan,USA,4,35
Sedan,USA,6,28
Sedan,Asia,4,38
Sedan,Asia,4,28
Sedan,Asia,4,28
Sedan,Asia,4,28
Sedan,Asia,4,27
Sedan,Asia,6,26
Sedan,Asia,6,26
Sports,Asia,4,27
Sports,Asia,4,24
Sedan,Asia,4,31
Sedan,Asia,4,31
Sedan,Asia,4,31
Sedan,Asia,4,30
Sedan,Asia,6,27
Sedan,Asia,4,40
Sedan,Asia,4,40
Sedan,Asia,4,40
Sedan,Asia,4,43
Sedan,Asia,4,39
Sedan,Asia,4,43
Sedan,Asia,4,33
Sedan,Asia,6,29
Sedan,Asia,4,33
Sedan,Asia,6,29
Sedan,Asia,6,29
Sedan,Asia,6,29
Sedan,Asia,6,29
Sedan,Asia,6,29
Sedan,Asia,6,27
Sedan,Asia,6,27
Sports,Asia,4,33
Sports,Asia,4,32
